language;bnli
afr_Latn;"Voorbeeld:  {premise} 
Hipotese:  {hypothesis} 
Bevat die uitgangspunt die hipotese?  
Opsie A: Ja.  
Opsie B: Nee.  
Kies tussen opsie A en B.  
Antwoord: "
arb_Arab;"فرضية:  {premise} 
فرضية:  {hypothesis} 
هل المفترضة تنطوي على الفرضية؟  
الخيار أ: نعم  
الخيار ب: لا  
اختر بين الخيارين أ و ب  
الجواب: "
ban_Latn;"Premis:  {premise} 
Hipotesis:  {hypothesis} 
Napike premis punika nyarengin hipotesis?  
Pilihan A: Inggih.  
Pilihan B: Nenten.  
Pilih antara pilihan A miwah B.  
Bali: Pasaur danene sapuniki: "
bel_Cyrl;"Перадумовы:  {premise} 
Гіпотэза:  {hypothesis} 
Ці ўключае ў сябе гіпотэзу?  
Варыянт А: Так.  
Варыянт Б: Не.  
Выберыце паміж варыянтам А і В.  
Адказ: "
ben_Beng;"মূলধন:  {premise} 
অনুমান:  {hypothesis} 
এই অনুমান কি অনুমানকে সমর্থন করে?  
বিকল্প A: হ্যাঁ।  
বিকল্প বিঃ না।  
বিকল্প A এবং B এর মধ্যে বেছে নিন।  
উত্তর: "
bod_Tibt;"ཕྱོགས་སྟོན་:  {premise} 
རྣམ་གཞག་:  {hypothesis} 
ཚད་གཞི་འདི་རྣམ་གཞག་དང་འབྲེལ་བ་ཡོད་དམ།  
གདམ་ཁ་དང་པོ། ལགས་སོ།།  
ཐབས་ལམ་ B: མེད།  
ཐབས་ལམ་ A དང་ B གཉིས་ནས་གཅིག་འདེམས་དགོས།  
ལན་སློག "
bos_Latn;"Predpostavka:  {premise} 
Hipoteza:  {hypothesis} 
Da li pretpostavka podrazumijeva hipotezu?  
Opcija A: Da.  
Opcija B: Ne.  
Izaberite između opcije A i B.  
Odgovor: "
bul_Cyrl;"Предположението:  {premise} 
Хипотеза:  {hypothesis} 
Премисата включва ли хипотезата?  
Опция А: Да.  
Опция Б: Не.  
Избирай между вариант А и В.  
Отговор: "
ces_Latn;"Předpoklad:  {premise} 
Hypotéza:  {hypothesis} 
Je předpoklad spojen s hypotézou?  
Možnost A: Ano.  
Možnost B: Ne.  
Vyber si mezi možnostmi A a B.  
Odpověď: "
cat_Latn;"Premissa:  {premise} 
Hipòtesi:  {hypothesis} 
La premissa implica la hipòtesi?  
Opció A: Sí.  
Opció B: No.  
Escollir entre l'opció A i B.  
Resposta: "
dan_Latn;"Præmis:  {premise} 
Hypotese:  {hypothesis} 
Er hypotesen indbygget i præmissen?  
Alternativ A: Ja.  
Alternativ B: Nej.  
Vælg mellem A og B.  
Svar: "
deu_Latn;"Prämissen:  {premise} 
Hypothese:  {hypothesis} 
Ist die Prämisse mit der Hypothese verbunden?  
Option A: Ja.  
Option B: Nein.  
Wählen Sie zwischen Option A und B.  
Antwort: "
eng_Latn;"The premise:  {premise} 
The hypothesis:  {hypothesis} 
Does the premise entail the hypothesis?  
Option A: Yes, you can.  
Option B: No, you can't.  
Choose between option A and B.  
Answer: "
