language;bnli;yes;no
afr_Latn;"Voorbeeld:  {premise} 
Hipotese:  {hypothesis} 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
";ja;nee
arb_Arab;"فرضية:  {premise} 
فرضية:  {hypothesis} 
هل المفترضة تنطوي على الفرضية؟  
اختر بين نعم أو لا 
";لا;نعم
ban_Latn;"Premis:  {premise} 
Hipotesis:  {hypothesis} 
Napike premis punika nyarengin hipotesis?  
Pilih antara ya utawi tidak. 
";ya;tidak
bel_Cyrl;"Перадумовы:  {premise} 
Гіпотэза:  {hypothesis} 
Ці ўключае ў сябе гіпотэзу?  
Выберыце паміж так ці не. 
";так;не
ben_Beng;"মূলধন:  {premise} 
অনুমান:  {hypothesis} 
এই অনুমান কি অনুমানকে সমর্থন করে?  
হ্যাঁ বা না এর মধ্যে বেছে নিন। 
";হ্যাঁ;না
bod_Tibt;"ཕྱོགས་སྟོན་:  {premise} 
རྣམ་གཞག་:  {hypothesis} 
ཚད་གཞི་འདི་རྣམ་གཞག་དང་འབྲེལ་བ་ཡོད་དམ།  
ལགས་སམ་མི་བདེན་གཉིས་ལས་གཅིག་འདེམས་དགོས། 
";;
bos_Latn;"Predpostavka:  {premise} 
Hipoteza:  {hypothesis} 
Da li pretpostavka podrazumijeva hipotezu?  
Izbor između da ili ne. 
";da;ne
bul_Cyrl;"Предположението:  {premise} 
Хипотеза:  {hypothesis} 
Премисата включва ли хипотезата?  
Избери между да или не. 
";да;не
ces_Latn;"Předpoklad:  {premise} 
Hypotéza:  {hypothesis} 
Je předpoklad spojen s hypotézou?  
Vyber si mezi ano a ne. 
";ano;ne
cat_Latn;"Premissa:  {premise} 
Hipòtesi:  {hypothesis} 
La premissa implica la hipòtesi?  
Escollir entre sí o no. 
";sí;no
dan_Latn;"Præmis:  {premise} 
Hypotese:  {hypothesis} 
Er hypotesen indbygget i præmissen?  
Vælg mellem ja eller nej. 
";ja;nej
deu_Latn;"Prämissen:  {premise} 
Hypothese:  {hypothesis} 
Ist die Prämisse mit der Hypothese verbunden?  
Wählen Sie zwischen Ja oder Nein. 
";ja;nein
eng_Latn;"Premise:  {premise} 
Hypothesis:  {hypothesis} 
Does the premise entail the hypothesis?  
Choose between yes or no. 
";yes;no
ell_Grek;"Προκαταθήκη:  {premise} 
Υποθεσία:  {hypothesis} 
Η υπόθεση συνεπάγεται την υπόθεση;  
Διάλεξε ανάμεσα στο ναι ή στο όχι. 
";ναι;όχι
est_Latn;"Eeldus:  {premise} 
Hüpotees:  {hypothesis} 
Kas eeldus on seotud hüpoteesiga?  
Vali jah või ei. 
";jah;ei
fin_Latn;"- Mitä?  {premise} 
Hypoteesi:  {hypothesis} 
Onko oletus hypoteesin mukainen?  
Valitse kyllä tai ei. 
";kyllä;ei
fra_Latn;"Prémisse:  {premise} 
Une hypothèse:  {hypothesis} 
La prémisse implique-t-elle l'hypothèse?  
Choisissez entre oui ou non. 
";oui;non
hat_Latn;"Premis:  {premise} 
Ipotèz:  {hypothesis} 
Èske premisi a enplike ipotèz la?  
Chwazi ant wi oswa non. 
";wi;non
heb_Hebr;"הנחה:  {premise} 
השערה:  {hypothesis} 
האם הנחת היסוד כרוכה בהשערה?  
בחר בין כן או לא. 
";כן;לא
hin_Deva;"आधार:  {premise} 
परिकल्पना:  {hypothesis} 
क्या प्रस्तावना परिकल्पना को शामिल करती है?  
हाँ या नहीं के बीच चुनें। 
";हाँ;नहीं
hun_Latn;"Előfeltétele:  {premise} 
Feltételezés:  {hypothesis} 
A premisszák a hipotézist is magukban foglalják?  
Válasszon igent vagy nemet. 
";igent;nemet
hrv_Latn;"Predpostavka:  {premise} 
Hipotetički:  {hypothesis} 
Da li pretpostavka podrazumijeva hipotezu?  
Izaberite između da ili ne. 
";da;ne
hye_Armn;"Նախադրյալ:  {premise} 
Ենթադրություն:  {hypothesis} 
Արդյո՞ք ենթադրությունը ենթադրություն է:  
Ընտրեք այո կամ ոչ: 
";այո;ոչ
ind_Latn;"Premis:  {premise} 
Hipotesis:  {hypothesis} 
Apakah premisnya melibatkan hipotesisnya?  
Pilih antara ya atau tidak. 
";ya;tidak
ita_Latn;"Primo:  {premise} 
Ipotesi:  {hypothesis} 
La premessa implica l'ipotesi?  
Scegli tra sì o no. 
";sì;no
jav_Latn;"Premis:  {premise} 
Hipotesis:  {hypothesis} 
Apa premis kasebut ndadékaké hipotesis?  
Pilih ya utawa ora. 
";ya;ora
jpn_Jpan;"仮説:  {premise} 
仮説:  {hypothesis} 
仮説は前提に含まれているか?  
選択してください. 
";;
