language;instruction_cause;instruction_effect
afr_Latn;"Voorbeeld:  {premise} 
Opsie A:  {choice1} 
Opsie B: {choice2} 
Watter oorsaak is na aanleiding van die uitgangspunt meer waarskynlik? 
Kies tussen opsies A en B. 
Antwoord:  {cot}";"Voorbeeld:  {premise} 
Opsie A:  {choice1} 
Opsie B: {choice2} 
Watter uitwerking is na aanleiding van die uitgangspunt waarskynliker? 
Kies tussen opsies A en B. 
Antwoord:  {cot}"
arb_Arab;"فرضية:  {premise} 
الخيار أ:  {choice1} 
الخيار (ب): {choice2} 
بناء على الفرضية، أي سبب هو الأكثر احتمالا؟ 
اختر بين الخيارين أ و ب 
الجواب:  {cot}";"فرضية:  {premise} 
الخيار أ:  {choice1} 
الخيار (ب): {choice2} 
بناء على الفرضية، أي تأثير هو الأكثر احتمالا؟ 
اختر بين الخيارين أ و ب 
الجواب:  {cot}"
ban_Latn;"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Manut kawéntenan punika, napi sané ngawinang? 
Pilih antara pilihan A miwah B. 
Bali: Pasaur danene sapuniki:  {cot}";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Manut kawéntenannyané, napi sané pinih dangan kapanggihin? 
Pilih antara pilihan A miwah B. 
Bali: Pasaur danene sapuniki:  {cot}"
bel_Cyrl;"Перадумовы:  {premise} 
Варыянт А:  {choice1} 
Варыянт Б: {choice2} 
Зыходзячы з папярэдняй высновы, якая прычына больш верагодная? 
Выберыце паміж варыянтамі А і В. 
Адказ:  {cot}";"Перадумовы:  {premise} 
Варыянт А:  {choice1} 
Варыянт Б: {choice2} 
Зыходзячы з гэтага, які эфект больш верагодны? 
Выберыце паміж варыянтамі А і В. 
Адказ:  {cot}"
ben_Beng;"মূলধন:  {premise} 
বিকল্প A:  {choice1} 
বিকল্প বিঃ {choice2} 
এই প্রমিশনের উপর ভিত্তি করে, কোন কারণটি বেশি সম্ভাব্য? 
বিকল্প A এবং B এর মধ্যে বেছে নিন। 
উত্তর:  {cot}";"মূলধন:  {premise} 
বিকল্প A:  {choice1} 
বিকল্প বিঃ {choice2} 
এই প্রবন্ধের ভিত্তিতে, কোন প্রভাব বেশি প্রাসঙ্গিক? 
বিকল্প A এবং B এর মধ্যে বেছে নিন। 
উত্তর:  {cot}"
bod_Tibt;"ཕྱོགས་སྟོན་:  {premise} 
གདམ་ཁ་དང་པོ།  {choice1} 
གདམ་ཁ་ B: {choice2} 
ཇི་ལྟར་ཡིན་ན་དེ་འདྲ་ཡིན་སྲིད་ཀྱི་རེད་དམ། 
A དང་ B གཉིས་ནས་གཅིག་འདེམས་དགོས། 
ལན་སློག  {cot}";"ཕྱོགས་སྟོན་:  {premise} 
གདམ་ཁ་དང་པོ།  {choice1} 
གདམ་ཁ་ B: {choice2} 
ཇི་ལྟར་ཡིན་ན་གང་ཞིག་འབྱུང་སྲིད་དམ། 
A དང་ B གཉིས་ནས་གཅིག་འདེམས་དགོས། 
ལན་སློག  {cot}"
bos_Latn;"Predpostavka:  {premise} 
Opcija A:  {choice1} 
Opcija B: {choice2} 
Na osnovu pretpostavke, koji je uzrok verovatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}";"Predpostavka:  {premise} 
Opcija A:  {choice1} 
Opcija B: {choice2} 
Na osnovu pretpostavke, koji je efekat verovatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}"
bul_Cyrl;"Предположението:  {premise} 
Опция А:  {choice1} 
Опция Б: {choice2} 
Въз основа на предположението, коя причина е по-вероятна? 
Избирай между варианти А и Б. 
Отговор:  {cot}";"Предположението:  {premise} 
Опция А:  {choice1} 
Опция Б: {choice2} 
Въз основа на предпоставката, кой ефект е по-вероятен? 
Избирай между варианти А и Б. 
Отговор:  {cot}"
ces_Latn;"Předpoklad:  {premise} 
Možnost A:  {choice1} 
Možnost B: {choice2} 
Na základě předpokladu, která příčina je pravděpodobnější? 
Vyber si mezi možnostmi A a B. 
Odpověď:  {cot}";"Předpoklad:  {premise} 
Možnost A:  {choice1} 
Možnost B: {choice2} 
Na základě předpokladu, který efekt je pravděpodobnější? 
Vyber si mezi možnostmi A a B. 
Odpověď:  {cot}"
cat_Latn;"Premissa:  {premise} 
Opció A:  {choice1} 
Opció B: {choice2} 
Basant-nos en la premissa, quina causa és més probable? 
Escollir entre les opcions A i B. 
Resposta:  {cot}";"Premissa:  {premise} 
Opció A:  {choice1} 
Opció B: {choice2} 
Basant-se en la premissa, quin efecte és més probable? 
Escollir entre les opcions A i B. 
Resposta:  {cot}"
