  ഇങ്ങനെ ശേഷം കോവി
  ഞാന് പോക്കറ്റ് മു�
  ഇതിന്റെ അടിസ്ഥാന
  എങ്ങനെ സാഹോഷ്ട്ര
  എങ്ങനെ ശേഷം കൊടുക്
  അവൾ കയറിൽ ചാടി.
  ഇങ്ങനെ ശേഷം ചെയ്യു
  ഇതിന്റെ ശേഷം കോവ
  ബാന്റ് അവരുടെ ഹി
  ആ പെൺകുട്ടി സ്ക�
  കൊടുങ്ങൾക്ക് ശേഷം 
  ഇങ്ങനെ ശേഷം കൊടു
  എന്റെ ബാങ്ക് അക്ക�
  ഡഗ് ശ്രീകൃഷ്
  അവന് രോഗം ഭേദമ
  ഇങ്ങനെ ശേഷം ചേർന്ന
  ഞാന് വെള്ളം ഗ്ലാസി
  സുഹൃത്ത് സംസാരം 
  അപകടം എന്റെ തെറ്റായി
  ചങ്ങല പൊട്ടിച്ചു. 
  ദമ്പതികൾ വിട്ടുവീ�
  ഇങ്ങനെ ശേഷം കൂടു
  ഇതിന്റെ ശേഷം അവർ സ
  ഇങ്ങനെ ശേഷം കൊടു
  ഡർ. എസ്. ശ്രീനായ
  ഇങ്ങനെ ശേഷം കൊടു
  ടീച്ചര് ആ വിദ്യാ
  എങ്ങനെ ചെയ്യാം എന്നെ
  ഭാഷങ്ങൾക്ക് ശേഷം ച
  ഇങ്ങനെ ശേഷം കൊടു
  ഇങ്ങനെ ശേഷം കൊടു
  സിനിമയുടെ പ്രദർശന ദി
  ഇങ്ങനെ അവർ ബന്��
  ഇങ്ങനെ ശേഷം കൊടു
  സിര് ക്കസ് നടന് ഒര
  എന്റെ സുഹൃത്ത് എ
  ശ്രമം എന്നിവയിൽ കൊ
  എന്നാൽ അവന് മയങ്ങി. 
  സോഫയുടെ കാലു പ��
  ഇങ്ങനെ ശേഷം ചേർന്ന
  അവർ ഒരു ശക്തിയാണ് 
  ഞാന് ആ പീച്ചില് 
  എന്റെ കൈകൾ പരുക്കന
"  ഞാന് വാതില് തള്ളി.  
"
  ഇതിന്റെ അടിസ്ഥാന
  എന്നെ ശേഷം ചെയ്യുന്ന
  ഇങ്ങനെ ശേഷം കൊടു
  എന്റെ ഷർട്ടിൽ വീഞ്
  കാഷ്യർ കാഷ് രജിസ്റ
  എങ്ങനെ ശേഷം കോവി��
  ഇങ്ങനെ ശേഷം കൂടു
  പൈലറ്റ് കോടുങ്കാ
  എങ്ങനെ ശേഷം ചേർന്നു 
  ഇങ്ങനെ അവർ കൂടുത
  ശ്രമങ്ങൾക്ക് അവർ ക��
  എന്നെ ശേഷം കോവിഡ
  സ്ത്രീയുടെ രാഷ്ട്ര
  എന്നെ ശേഷം കൊടുക്ക
  ട്രെയിൻ സ്റ്റേഷനിൽ എ
  ഇങ്ങനെ ശേഷം കൊടു
  സുഹൃത്തുകൾക്ക് ശ
  അവർ ബ്രാങ്ക് ചെയ്ത
  ഞാന് വാച്ചിലേക്ക് ന�
  എന്റെ കൈ ഞെരുങ്ങി 
  ബോൾട്ട് കട്ടയായി
  ഇങ്ങനെ ശേഷം കൊടു
  ഡോnitz ശ്രമങ്ങൾക്ക്
  ഇങ്ങനെ ശേഷം കൊടു
  ഇങ്ങനെ ശേഷം കൊടു
  അവർ ഇന്ന് സാദ്ധ്
  ശ്രേഷ്ടങ്ങൾക്ക് ചെയ്
