"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
No";;
"  
Yes";;
"  
Yes";;
  Dit was die primêre ding wat ons wou red aangesien daar geen manier was om 'n 20-megaton H-bom van 'n 30;"n C124 af te gooi nie. 
Hypothesis:  Ons het nie omgegee om enigiets te red nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Dit was die primêre ding wat ons wou red aangesien daar geen manier was om 'n 20-megaton H-bom van 'n 30;"n C124 af te gooi nie. 
Hypothesis:  Ons wou een ding meer as die res red. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that one is not sure";;
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker is not";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that you have had dealings";;
"  
Yes, the premise entails the hypothesis. The premise states that you have had no deal";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ek was";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is someone who";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if the family had five children and one of";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it provides a reason why someone who has already received";;
"  
Yes, the premise does entail the hypothesis because it provides a reason why someone might be able";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that they entered a door,";;
"  
Yes, the premise entails the hypothesis. The premise states that we entered before the door";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that you will try to";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it provides evidence that supports the idea that the person";;
"  
Yes, the premise entails the hypothesis because it provides evidence that supports the conclusion that she was";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ek we";;
"  
Yes, the premise does entail the hypothesis. The information provided in the premise (E";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that they will pay for";;
"  
Yes, the premise does entail the hypothesis. The premise states that they said ""We";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Die man kom";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Die man kom in";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker has not";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No, the premise does not entail the hypothesis. The premise states that they went north";;
"  
Yes, the premise entails the hypothesis because if they went north, then they have gone to";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that it was a wonderful";;
  The premise;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ek de";;
"  
Yes, the premise does entail the hypothesis. The premise states that they are doing the";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that there is something that can";;
"  
Yes, the premise entails the hypothesis. The premise states that there is something that can";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that they did not know";;
"  
Yes, the premise does entail the hypothesis. The premise states that they did not know";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if you loosen a small screw, it";;
"  
Yes";;
