"  
मी त्याच्याशी पुन्हा";
"  
1. मी त्याच्याशी पुन";
 आणि मला वाट;
"  
1. आधार करिअर क्षेत्";
"  
1. मला कोणाला भेटण्य";
"  
1. मला सांगण्यात आले";
"  
1. मला त्याबद्दल जे ";
"  
1. मी त्याबद्दल बोलण";
"  
1. आम्हाला काहीही वा";
"  
A) आम्हाला इतर गोष";
"  
1. मला खात्री आहे की";
"  
1. मला माहित नाही ते";
"  
1. फॅनी फ्लानो";
"  
1. फॅनी फ्लानो";
"  
A) Yes, I can explain it to you. B) No, I don't think";
"  
A) Yes, I can explain it to you. B) No, I don't think";
"  
1. मी एकमेव होतो ज";
"  
1. मी एकमेव होतो ज";
"  
मी आजही काम करत आहे.";
"  
मी निवृत्त झालेल";
"  
A) Yes, I know the name of the client who owns that desk.
B";
"  
1. माझ्या डेस्कवर ";
"  
1. मला मदत करू शकणार";
"  
1. मला मदत करणारा को";
"  
1. गृहीते अद्भुत अ";
"  
1. कामगार आणि घरात";
  आज ते आपल्य;
"  
1. आज ते आपल्याशी ति";
"  
1. म्हणजे त्यांना ��";
"  
1. पाचपैकी एक मुलग";
"  
1. आधार चित्रपटांमधू";
"  
1. आमच्याकडे व्हिडि�";
"  
1. ती म्हणाली की जो ";
"  
1. ती म्हणाली की जो ";
"  
1. विमानात आग लागली ";
 जर विमानात ;
"  
1. चीफ अमेरिकन हवा";
"  
1. हे आहेत चीट मास";
"  
A) आधार अनुभव करा, ग";
"  
1. आधार असे विमाने य";
"  
1. पूर्ण दाब पोशाखां";
"  
1. त्यांना आधीच पूर्";
"  
1. मी हे सांगू इच्";
"  
1. मी हे सांगू इच्";
"  
1. आधार करते समय मी ";
"  
मी नक्की काय करण्याच";
"  
1. पण तरीही, प्राणी ";
"  
1. पण तरीही, प्राणी ";
"  
A) आधार करते असे दरव";
 आम्ही आत गे;
"  
1. मला काही कल्पना न";
"  
1. मला फक्त एकूण";
 तो आला, त्य;
  तो आला, त्य;
"  
1. माझ्याकडे खास द";
"  
1. माझ्याकडे कोणती";
"  
1. आधार असलेला सुभाष";
"  
1. आधार असलेला दुष्क";
"  
गृहीते का सूचित कर";
"  
मी तिथे असताना रमोना";
"  
1. आधार असे खरं तर त";
"  
1. आधार करावा असे खर";
"  
1. त्यानंतर तो ऑगस";
"  
1. त्यानंतर तो ऑगस";
"  
1. आम्हाला सांगायचे ";
"  
1. आम्ही जे काही केल";
 ते म्हणाले,;
 ते म्हणाले,;
"  
1. केनेडीने आमच्या स";
"  
1. दुसऱ्या दिवशी न";
"  
1. माणूस आत येतो.
2.";
"  
1. माणूस आत येतो.
2.";
"  
1. माझे आजोबा आणि ";
"  
1. माझे आजोबा आणि ";
"  
मला या सगळ्या गोष्";
"  
1. मला या सगळ्या ग";
"  
1. अणुबॉम्बमध्ये ट";
  आणि त्या वे;
"  
1. माझ्या आजीने ने";
"  
1. माझ्या आजी मला ";
"  
1. आमच्याकडे पूर्ण द";
"  
1. आमच्याकडे पूर्ण द";
"  
1. आधार असलेला माणूस";
"  
1. आधार असलेला आजोबा";
  तीस-चाळीस;
  तीस-चाळीस;
"  
1. तर ती म्हणते, हे ";
"  
1. तर ती म्हणते, हे ";
"  
1. गृहीते की ते म्";
"  
1. गृहीते की सूचित";
"  
1. नाही, खरं सांगायच";
"  
मी दररोज पुस्तके वाच";
"  
1. मी पुढे गेलो आण";
"  
1. मी पुढे गेलो आण";
"  
The word ""आधार"" can be translated to ""foundation"" or ""base"".";
"  
1. मूड खूप बदलला.
2.";
"  
मला त्यांनी मला त्या";
