question;A;B;C;answer;answer_abc
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक नारंगी गेंद है, बॉब के पास एक सफेद गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। फिर, बॉब और क्लेयर ने गेंदें बदलीं। अंत में, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। खेल के अंत में, एलिस के पास है ;नारंगी गेंद ;सफेद गेंद ;नीला गोला ;नीला गोला ;C
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक नारंगी गेंद है, बॉब के पास एक सफेद गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। फिर, बॉब और क्लेयर ने गेंदें बदलीं। अंत में, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। खेल के अंत में, बॉब के पास ;नारंगी गेंद ;सफेद गेंद ;नीला गोला ;सफेद गेंद ;B
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक नारंगी गेंद है, बॉब के पास एक सफेद गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। फिर, बॉब और क्लेयर ने गेंदें बदलीं। अंत में, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। खेल के अंत में, क्लेयर के पास है ;नारंगी गेंद ;सफेद गेंद ;नीला गोला ;नारंगी गेंद ;A
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक काली गेंद है, बॉब के पास एक भूरी गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। सबसे पहले, बॉब और क्लेयर ने गेंदें बदलीं। फिर, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। अंत में, क्लेयर और बॉब ने गेंदें बदलीं। खेल के अंत में, एलिस के पास है ;नीला गोला ;काली गेंद ;भूरा गोला ;नीला गोला ;A
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक काली गेंद है, बॉब के पास एक भूरी गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। सबसे पहले, बॉब और क्लेयर ने गेंदें बदलीं। फिर, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। अंत में, क्लेयर और बॉब ने गेंदें बदलीं। खेल के अंत में, बॉब के पास ;नीला गोला ;काली गेंद ;भूरा गोला ;भूरा गोला ;C
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक काली गेंद है, बॉब के पास एक भूरी गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। सबसे पहले, बॉब और क्लेयर ने गेंदें बदलीं। फिर, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। अंत में, क्लेयर और बॉब ने गेंदें बदलीं। खेल के अंत में, क्लेयर के पास है ;नीला गोला ;काली गेंद ;भूरा गोला ;काली गेंद ;B
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास नारंगी गेंद है, बॉब के पास लाल गेंद है, और क्लेयर के पास एक काली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। फिर, क्लेयर और बॉब ने गेंदें बदलीं। अंत में, ऐलिस और क्लेयर ने गेंदों का आदान-प्रदान किया। खेल के अंत में, एलिस के पास है ;नारंगी गेंद ;काली गेंद ;लाल गेंद ;नारंगी गेंद ;A
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास नारंगी गेंद है, बॉब के पास लाल गेंद है, और क्लेयर के पास एक काली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। फिर, क्लेयर और बॉब ने गेंदें बदलीं। अंत में, ऐलिस और क्लेयर ने गेंदों का आदान-प्रदान किया। खेल के अंत में, बॉब के पास ;नारंगी गेंद ;काली गेंद ;लाल गेंद ;काली गेंद ;B
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास नारंगी गेंद है, बॉब के पास लाल गेंद है, और क्लेयर के पास एक काली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और बॉब ने गेंदों का आदान-प्रदान किया। फिर, क्लेयर और बॉब ने गेंदें बदलीं। अंत में, ऐलिस और क्लेयर ने गेंदों का आदान-प्रदान किया। खेल के अंत में, क्लेयर के पास है ;नारंगी गेंद ;काली गेंद ;लाल गेंद ;लाल गेंद ;C
ऐलिस, बॉब और क्लेयर एक खेल खेल रहे हैं। खेल की शुरुआत में, वे प्रत्येक एक गेंद को पकड़ रहे हैंः एलिस के पास एक पीली गेंद है, बॉब के पास एक बैंगनी गेंद है, और क्लेयर के पास एक नीली गेंद है। जैसे-जैसे खेल आगे बढ़ता है, खिलाड़ियों के जोड़े गेंदों का आदान-प्रदान करते हैं। पहले, एलिस और क्लेयर ने गेंदों का आदान-प्रदान किया। फिर, बॉब और क्लेयर ने गेंदें बदलीं। अंत में, ऐलिस और क्लेयर ने गेंदों का आदान-प्रदान किया। खेल के अंत में, एलिस के पास है ;नीला गोला ;पीली गेंद ;बैंगनी गेंद ;बैंगनी गेंद ;C
