question;A;B;C;answer;answer_abc
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има оранжева топка, Боб има бяла топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Боб си разменят топките. После Боб и Клеър си размениха топките. Най-накрая Алис и Боб си разменят топките. В края на играта Алис има ;оранжева топка ;бяла топка ;синя топка ;синя топка ;C
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има оранжева топка, Боб има бяла топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Боб си разменят топките. После Боб и Клеър си размениха топките. Най-накрая Алис и Боб си разменят топките. В края на играта, Боб има ;оранжева топка ;бяла топка ;синя топка ;бяла топка ;B
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има оранжева топка, Боб има бяла топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Боб си разменят топките. После Боб и Клеър си размениха топките. Най-накрая Алис и Боб си разменят топките. В края на играта, Клеър има ;оранжева топка ;бяла топка ;синя топка ;оранжева топка ;A
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има черна топка, Боб има кафява топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Боб и Клеър си разменят топките. След това Алис и Боб си разменят топките. Най-накрая Клеър и Боб си разменят топките. В края на играта Алис има ;синя топка ;черна топка ;кафява топка ;синя топка ;A
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има черна топка, Боб има кафява топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Боб и Клеър си разменят топките. След това Алис и Боб си разменят топките. Най-накрая Клеър и Боб си разменят топките. В края на играта, Боб има ;синя топка ;черна топка ;кафява топка ;кафява топка ;C
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има черна топка, Боб има кафява топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Боб и Клеър си разменят топките. След това Алис и Боб си разменят топките. Най-накрая Клеър и Боб си разменят топките. В края на играта, Клеър има ;синя топка ;черна топка ;кафява топка ;черна топка ;B
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има оранжева топка, Боб - червена, а Клер - черна. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Боб си разменят топките. После Клеър и Боб си размениха топките. Най-накрая Алис и Клеър си разменят топките. В края на играта Алис има ;оранжева топка ;черна топка ;червена топка ;оранжева топка ;A
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има оранжева топка, Боб - червена, а Клер - черна. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Боб си разменят топките. После Клеър и Боб си размениха топките. Най-накрая Алис и Клеър си разменят топките. В края на играта, Боб има ;оранжева топка ;черна топка ;червена топка ;черна топка ;B
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има оранжева топка, Боб - червена, а Клер - черна. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Боб си разменят топките. После Клеър и Боб си размениха топките. Най-накрая Алис и Клеър си разменят топките. В края на играта, Клеър има ;оранжева топка ;черна топка ;червена топка ;червена топка ;C
Алис, Боб и Клеър играят игра. В началото на играта всяка от тях държи топка: Алис има жълта топка, Боб има лилава топка, а Клер има синя топка. Докато играта продължава, двойките играчи си разменят топките. Първо, Алис и Клеър си разменят топките. После Боб и Клеър си размениха топките. Най-накрая Алис и Клеър си разменят топките. В края на играта Алис има ;синя топка ;жълта топка ;лилаво топче ;лилаво топче ;C
