question;A;B;C;answer;answer_abc
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কমলা বল আছে, বব একটি সাদা বল আছে, এবং ক্লিয়ার একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর বব বল বিনিময় করে। তারপর বব আর ক্লেয়ার বল বদল করে। অবশেষে, এলিস এবং বব বল বিনিময়। খেলার শেষে, এলিস ;কমলা বল ;সাদা বল ;নীল বল ;নীল বল ;C
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কমলা বল আছে, বব একটি সাদা বল আছে, এবং ক্লিয়ার একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর বব বল বিনিময় করে। তারপর বব আর ক্লেয়ার বল বদল করে। অবশেষে, এলিস এবং বব বল বিনিময়। খেলার শেষে, বব ;কমলা বল ;সাদা বল ;নীল বল ;সাদা বল ;B
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কমলা বল আছে, বব একটি সাদা বল আছে, এবং ক্লিয়ার একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর বব বল বিনিময় করে। তারপর বব আর ক্লেয়ার বল বদল করে। অবশেষে, এলিস এবং বব বল বিনিময়। খেলার শেষে, ক্লিয়ার ;কমলা বল ;সাদা বল ;নীল বল ;কমলা বল ;A
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কালো বল আছে, বব এর একটি বাদামী বল আছে, এবং ক্লিয়ার এর একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, বব আর ক্লেয়ার বল বিনিময় করে। তারপর, এলিস আর বব বল বিনিময় করে। অবশেষে, ক্লিয়ার আর বব বল বিনিময় করে। খেলার শেষে, এলিস ;নীল বল ;কালো বল ;বাদামী বল ;নীল বল ;A
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কালো বল আছে, বব এর একটি বাদামী বল আছে, এবং ক্লিয়ার এর একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, বব আর ক্লেয়ার বল বিনিময় করে। তারপর, এলিস আর বব বল বিনিময় করে। অবশেষে, ক্লিয়ার আর বব বল বিনিময় করে। খেলার শেষে, বব ;নীল বল ;কালো বল ;বাদামী বল ;বাদামী বল ;C
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কালো বল আছে, বব এর একটি বাদামী বল আছে, এবং ক্লিয়ার এর একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, বব আর ক্লেয়ার বল বিনিময় করে। তারপর, এলিস আর বব বল বিনিময় করে। অবশেষে, ক্লিয়ার আর বব বল বিনিময় করে। খেলার শেষে, ক্লিয়ার ;নীল বল ;কালো বল ;বাদামী বল ;কালো বল ;B
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কমলা বল আছে, বব একটি লাল বল আছে, এবং ক্লিয়ার একটি কালো বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর বব বল বিনিময় করে। তারপর, ক্লিয়ার আর বব বল বিনিময় করে। অবশেষে, এলিস আর ক্লেয়ার বল বিনিময় করে। খেলার শেষে, এলিস ;কমলা বল ;কালো বল ;লাল বল ;কমলা বল ;A
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কমলা বল আছে, বব একটি লাল বল আছে, এবং ক্লিয়ার একটি কালো বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর বব বল বিনিময় করে। তারপর, ক্লিয়ার আর বব বল বিনিময় করে। অবশেষে, এলিস আর ক্লেয়ার বল বিনিময় করে। খেলার শেষে, বব ;কমলা বল ;কালো বল ;লাল বল ;কালো বল ;B
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি কমলা বল আছে, বব একটি লাল বল আছে, এবং ক্লিয়ার একটি কালো বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর বব বল বিনিময় করে। তারপর, ক্লিয়ার আর বব বল বিনিময় করে। অবশেষে, এলিস আর ক্লেয়ার বল বিনিময় করে। খেলার শেষে, ক্লিয়ার ;কমলা বল ;কালো বল ;লাল বল ;লাল বল ;C
এলিস, বব, এবং ক্লেয়ার একটি খেলা খেলছে। খেলার শুরুতে, তারা প্রত্যেকে একটি বল ধরে আছে: এলিসের একটি হলুদ বল আছে, বব একটি বেগুনি বল আছে, এবং ক্লিয়ার একটি নীল বল আছে। খেলা চলার সাথে সাথে, খেলোয়াড়দের জোড়া বল বিনিময় করে। প্রথমে, এলিস আর ক্লেয়ার বল বিনিময় করে। তারপর বব আর ক্লেয়ার বল বদল করে। অবশেষে, এলিস আর ক্লেয়ার বল বিনিময় করে। খেলার শেষে, এলিস ;নীল বল ;হলুদ বল ;বেগুনি বল ;বেগুনি বল ;C
