question;A;B;C;answer;answer_abc
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի նարնջագույն գնդակ, Բոբը' սպիտակ գնդակ, իսկ Քլերը' կապույտ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Վերջապես, Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Խաղի վերջում Ալիսը ունի ;նարնջագույն գնդակ ;սպիտակ գնդակ ;կապույտ գնդակ ;կապույտ գնդակ ;C
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի նարնջագույն գնդակ, Բոբը' սպիտակ գնդակ, իսկ Քլերը' կապույտ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Վերջապես, Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Խաղի վերջում Բոբը ;նարնջագույն գնդակ ;սպիտակ գնդակ ;կապույտ գնդակ ;սպիտակ գնդակ ;B
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի նարնջագույն գնդակ, Բոբը' սպիտակ գնդակ, իսկ Քլերը' կապույտ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Վերջապես, Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Խաղի վերջում Քլերը ;նարնջագույն գնդակ ;սպիտակ գնդակ ;կապույտ գնդակ ;նարնջագույն գնդակ ;A
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի սեւ գնդակ, Բոբը ունի շագանակագույն գնդակ, իսկ Քլերը ՝ կապույտ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Այնուհետեւ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Վերջապես, Քլերը եւ Բոբը փոխանակում են իրենց գնդակները: Խաղի վերջում Ալիսը ունի ;կապույտ գնդակ ;սեւ գնդակ ;շագանակագույն գնդակ ;կապույտ գնդակ ;A
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի սեւ գնդակ, Բոբը ունի շագանակագույն գնդակ, իսկ Քլերը ՝ կապույտ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Այնուհետեւ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Վերջապես, Քլերը եւ Բոբը փոխանակում են իրենց գնդակները: Խաղի վերջում Բոբը ;կապույտ գնդակ ;սեւ գնդակ ;շագանակագույն գնդակ ;շագանակագույն գնդակ ;C
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի սեւ գնդակ, Բոբը ունի շագանակագույն գնդակ, իսկ Քլերը ՝ կապույտ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Այնուհետեւ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Վերջապես, Քլերը եւ Բոբը փոխանակում են իրենց գնդակները: Խաղի վերջում Քլերը ;կապույտ գնդակ ;սեւ գնդակ ;շագանակագույն գնդակ ;սեւ գնդակ ;B
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ: Ալիսն ունի նարնջագույն գնդակ, Բոբը ունի կարմիր գնդակ, իսկ Քլերը ունի սեւ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Այնուհետեւ Քլերը եւ Բոբը փոխանակեցին իրենց գնդակները: Վերջապես, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Խաղի վերջում Ալիսը ունի ;նարնջագույն գնդակ ;սեւ գնդակ ;կարմիր գնդակ ;նարնջագույն գնդակ ;A
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ: Ալիսն ունի նարնջագույն գնդակ, Բոբը ունի կարմիր գնդակ, իսկ Քլերը ունի սեւ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Այնուհետեւ Քլերը եւ Բոբը փոխանակեցին իրենց գնդակները: Վերջապես, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Խաղի վերջում Բոբը ;նարնջագույն գնդակ ;սեւ գնդակ ;կարմիր գնդակ ;սեւ գնդակ ;B
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ: Ալիսն ունի նարնջագույն գնդակ, Բոբը ունի կարմիր գնդակ, իսկ Քլերը ունի սեւ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ Ալիսն ու Բոբը փոխանակում են իրենց գնդակները: Այնուհետեւ Քլերը եւ Բոբը փոխանակեցին իրենց գնդակները: Վերջապես, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Խաղի վերջում Քլերը ;նարնջագույն գնդակ ;սեւ գնդակ ;կարմիր գնդակ ;կարմիր գնդակ ;C
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսն ունի դեղին գնդակ, Բոբը' մանուշակագույն, իսկ Քլերը' կապույտ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Վերջապես, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Խաղի վերջում Ալիսը ունի ;կապույտ գնդակ ;դեղին գնդակ ;մանուշակագույն գնդակ ;մանուշակագույն գնդակ ;C
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսն ունի դեղին գնդակ, Բոբը' մանուշակագույն, իսկ Քլերը' կապույտ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Վերջապես, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Խաղի վերջում Բոբը ;կապույտ գնդակ ;դեղին գնդակ ;մանուշակագույն գնդակ ;դեղին գնդակ ;B
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսն ունի դեղին գնդակ, Բոբը' մանուշակագույն, իսկ Քլերը' կապույտ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Բոբն ու Քլերը փոխանակում են իրենց գնդակները: Վերջապես, Ալիսն ու Քլերը փոխանակում են իրենց գնդակները: Խաղի վերջում Քլերը ;կապույտ գնդակ ;դեղին գնդակ ;մանուշակագույն գնդակ ;կապույտ գնդակ ;A
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի շագանակագույն գնդակ, Բոբը ունի կարմիր գնդակ, իսկ Քլերը ունի սպիտակ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Քլերը եւ Բոբը փոխանակում են իրենց գնդակները: Բոբն ու Ալիսը փոխանակում են իրենց գնդակները: Վերջապես, Քլերը եւ Ալիսը փոխանակում են իրենց գնդակները: Խաղի վերջում Ալիսը ունի ;սպիտակ գնդակ ;շագանակագույն գնդակ ;կարմիր գնդակ ;կարմիր գնդակ ;C
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի շագանակագույն գնդակ, Բոբը ունի կարմիր գնդակ, իսկ Քլերը ունի սպիտակ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Քլերը եւ Բոբը փոխանակում են իրենց գնդակները: Բոբն ու Ալիսը փոխանակում են իրենց գնդակները: Վերջապես, Քլերը եւ Ալիսը փոխանակում են իրենց գնդակները: Խաղի վերջում Բոբը ;սպիտակ գնդակ ;շագանակագույն գնդակ ;կարմիր գնդակ ;շագանակագույն գնդակ ;B
Ալիսը, Բոբը եւ Քլերը խաղ են խաղում: Խաղի սկզբում նրանք յուրաքանչյուրը բռնում է գնդակ. Ալիսը ունի շագանակագույն գնդակ, Բոբը ունի կարմիր գնդակ, իսկ Քլերը ունի սպիտակ գնդակ: Խաղի ընթացքում խաղացողները փոխանակում են գնդակները։ Նախ, Քլերը եւ Բոբը փոխանակում են իրենց գնդակները: Բոբն ու Ալիսը փոխանակում են իրենց գնդակները: Վերջապես, Քլերը եւ Ալիսը փոխանակում են իրենց գնդակները: Խաղի վերջում Քլերը ;սպիտակ գնդակ ;շագանակագույն գնդակ ;կարմիր գնդակ ;սպիտակ գնդակ ;A
