,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,I became a Law and Order fan in 2011.,I was recovering from a stroke.,When I got home I tried to watch every episode.,It was hard trying to binge watch 20 Years of a show.,I think Law and Order is one of the worst shows ever made.,Eventually I watched them all.,2
1,Everybody loved Bob because he played a popular character in the movie.,Bob hated it because he was nothing like that character.,Jim asked Bob to say his character's catch phrase.,It was too much for Bob and he exploded with rage.,Bob told the man to leave him alone.,Bob asked the man for tea.,1
2,Lita wanted to watch her favorite show on television.,Her children insisted that she sit down to watch it with them.,Lita told them she had chores to do.,Her kids dragged her laundry basket to the living room.,Lita ordered a pepperoni pizza for lunch.,Lita folded the laundry while watching television.,2
3,Liv jumped as she was startled by a loud pop.,She realized it was the light bulb in her kitchen burning out.,She got out a footstool and stepped on it.,It wobbled under her and she almost fell.,Liv decided to change a light bulb in the bathroom.,Liv then changed the light bulb.,2
4,Mother told her children it would be lunchtime in fifteen minutes.,But then she got an important phone call.,"While she was talking, the dog dragged mud all over the kitchen.","The kids started pestering their mother, who was still on the phone.",The mother felt quite frustrated.,The children's behavior calmed the mother down.,1
5,Hector always bought coffee at a local shop before work.,He realizes that his coffee buying habit is very expensive.,One day Hector decides to brew coffee at home.,He is proud that the coffee he made at home is so good.,Hector kept brewing his own coffee and saved money.,Hector started buying more coffee from Starbucks.,1
6,Kelly found out there was a new girl at school.,When she walked into the school she went looking for her.,"When she met her, she invited her to sit with her at lunch.","When they ate lunch, the girls became friends.",Kelly never spoke to her again.,Kelly was happy to have made a new friend.,2
7,Tommy trained hard to run his first 5K.,During the race he felt frustrated when so many people passed him.,When he heard his name called during awards he was shocked.,He didn't realize they'd do awards by age group.,He was ashamed that he didn't get any recognition.,He was proud to finish first by age but tenth overall.,2
8,Laurie is going to her first formal dance tonight.,Her date picked her up and gave her a beautiful rose.,Laurie was wearing a long sparkling dress.,They danced and had fun with all their friends.,Laurie went home crying.,Laurie ended the night by kissing her date.,2
9,Neil was exploring historic railroads.,"He rode into Scranton, Pennsylvania.",He realized it was a beautiful old train depot.,He took a lot of photos while he was there.,Neil deleted all his photos.,Neil saved the photos on his computer.,2
10,Bob dreaded his first day working at a fast food fish joint.,He planned to wait to put on his gaudy nautical uniform.,Bob got to work making fish burgers after putting on the uniform.,"He was so busy, he forgot to change back into his street clothes",Bob loved the outfit so much that he showed it to his friends.,Bob went out after work wearing the sailor suit.,2
11,A friend came to visit.,I told her that my dog bites.,She didn't listen.,She tried to pet him and play with him.,My dog bit her.,My dog ran away.,1
12,Lester has always wanted to be more artistic.,He decides to try to draw a picture of a flower one day.,He sits in front of a beautiful orchid and begins to draw.,Lester's drawing comes out very well.,He hangs the picture on the wall in his living room.,He decides never to draw anything again.,1
13,Pablo likes to eat worms.,He read a book in school on how to do this.,He fries them in olive oil.,He likes to do this at least once a month.,Pablo enjoys worms and views them as a delicacy.,Pablo doesn't like to eat worms.,1
14,Kira always loved Japanese culture.,Many of her favorite movies were in Japanese.,She decided that she would travel there.,For years she saved money for her trip.,She spent all the money on shoes.,It was the best trip of her life.,2
15,Glen was in the mood for a walk.,He put on his jacket and went outside.,"While walking on the sidewalk, he tripped and broke his knee open.",Glen got back up and limped back to his house.,Glen ran his best marathon time ever.,Glen swore he'd never walk again.,2
16,Jesus spent the day polishing the furniture.,As night approached he surveyed the work he had done.,Everything looked shiny and new.,Jesus invited all his friends over for a party that evening.,They said his furniture looked nice.,His friends polished his furniture.,1
17,I was walking to the store recently.,"As I was passing an exit, I felt cold, hard steel on my arm.",I was shocked that I was being hit by a car!,The driver was very apologetic after he saw I was hit.,I told them it was okay and then walked away.,The driver of the car became very angry with me.,1
18,Gina's sister cut her ankle on broken glass.,The blood ran down her foot and into her shoe.,When she saw the blood she ran home.,"Gina ran behind her, but couldn't keep up.",When they got home they all had ice cream.,Gina's sister went to the doctor.,2
19,A little boy was in third grade.,He was very smart but struggled with reading.,Whenever he read aloud his classmates laughed at him.,He started practicing reading every single day.,The little boy accepted that he would never improve.,"At the end of the year, he did well on his reading test.",2
20,Rosie's class was having a little party.,She decided to make a fruit salad for everyone.,She spent a lot of money on the fruit and a lot of time preparing it.,On the day of the party she scooped up a huge bowl of the fruit salad.,Rosie's class shared the fruit salad.,Rosie kept the bowl of fruit salad in her fridge at home.,1
21,Kelly was happy to have her new phone.,She took it with her everywhere.,Unfortunately she smashed it.,Thankfully however she was able to get it fixed.,The store gave her a fair price to fix it.,Kelly bought a new phone.,1
22,"While I was in college, I had met an older man.",I was 22 and he was 38.,We had a good understanding and had a good time together.,We stayed together the whole time I was there.,I have fond memories of that time.,I have negative memories of that time.,1
23,Bob wanted to be in the school play.,He studied the part carefully.,He rehearsed his lines often.,"On the day of the audition, he did a great job.",Bob was very proud.,Bob was very ashamed.,1
24,Jackie has been appointed eighth grade hall monitor.,She is envied throughout the class.,Her classmates often put her job in jeopardy.,They would steal Jackie's hall passes.,The principal suspended her rowdy classmates.,Her classmates were given awards for their behavior.,1
25,My dad had just gotten a new car.,To celebrate we all went for a drive.,Another car ran over a stop sign and crashed into us.,I slammed the window hard enough to break it.,I climbed out and me and my dad were okay.,We were both flattened by the vehicle.,1
26,My niece loves the Frozen movie.,She always wants it on.,She goes around the house singing.,She loves to scream let it go.,She sings it over and over again.,She loves sports and hates princess things.,1
27,"Alex was dribbling up the court, with his team down by two points.","He glanced at the scoreboard, and saw there were only 5 seconds left.",His mind raced as he tried to find an open man.,The defenders were sticking to his teammates like glue.,The buzzer went off and his team won the game.,He attempted a three-pointer and missed.,2
28,I came into the library and took a seat.,"When I looked around, I noticed a kid.",He was staring at me for a while.,I became frustrated and got up from my seat.,I didn't mind what the kid was doing.,I asked him what his problem was.,2
29,Iva and Brant were trying to conceive a child.,They had been trying for six months without success.,"At their doctor's appointment, they expressed discouragement.",But then they saw the doctor smiling broadly.,Brant will cancel his plans to kidnap a child.,The couple will be happy to know they have a baby on the way.,2
30,Catherine has always been intrigued by the sport of Curling.,Catherine loves watching the athletes play the sport on television.,"One day, Catherine decided she would visit a Curling practice session.","At practice, one of the athletes invited Catherine to play.",Catherine then began practicing every day and became good at it.,Catherine thought curling looked boring.,1
31,Francis has always looked forward to learning how to drive.,Finally he is old enough for a driver's license.,Francis studies very hard to get a license.,He passed his driver's test easily.,Francis is really proud of his accomplishment.,Francis decides he'd rather take public transportation.,1
32,Yesterday I had a great time watching The Nutcracker.,I absolutely loved it.,As the dancers graced the stage it was beautiful.,I felt honored to have seen the show.,I vowed never to see it again.,I wanted to see it again.,2
33,I woke up for my class at 8:30 in the morning.,I got out of bed and took a shower.,I quickly ate breakfast and began walking to class.,"After 50 minutes of class, I began to walk back to my dorm.",I decided to go back to class again.,"When I got there, I took a nap.",2
34,Gary wanted to get Lisa's attention.,One day he decides to write Lisa a poem.,"The next day at school, Gary sees Lisa in the hallway.",Gary gives Lisa a really big smile and hands her the poem.,"Gary slaps Lisa hard, and walks away.",Lisa confesses she's also in love with Gary.,2
35,Carlos has always wanted to visit France.,He decides that he should learn to speak French before he goes.,He enrolls in a night class and studies very hard.,Finally Carlos can speak French pretty well.,Carlos booked a flight to Australia.,Carlos makes the most of his French on his trip to Paris.,2
36,Lars had always wanted to try photography.,"His friend was an excellent photographer, but he had never tried.","One day he bought a simple, but high-quality, camera.","From that day on, Lars shot images of nature every day.",Lars fell in love with photography.,Lars hated photography.,1
