,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Am devenit un fan al ""Legii şi Ordinii"" în 2011.",Mă vindecam de un atac cerebral.,Când am ajuns acasă am încercat să mă uit la fiecare episod.,A fost greu să mă îmbăt după 20 de ani de emisiune.,Cred că Legea şi Ordinul e unul dintre cele mai proaste seriale făcute vreodată.,În cele din urmă le-am urmărit pe toate.,2
1,Toată lumea l-a iubit pe Bob pentru că a jucat un personaj popular în film.,Bob a urât-o pentru că nu semăna deloc cu personajul ăla.,Jim l-a rugat pe Bob să spună fraza de bază a personajului său.,A fost prea mult pentru Bob şi a explodat de furie.,Bob i-a spus omului să-l lase în pace.,Bob i-a cerut omului ceai.,1
2,Lita voia să se uite la emisiunea ei preferată la televizor.,Copiii ei au insistat să se uite la film cu ei.,Lita le-a spus că are treburi de făcut.,Copiii ei au târât coşul cu rufele în sufragerie.,Lita a comandat o pizza cu pepperoni la prânz.,Lita a împăturit rufele în timp ce se uita la televizor.,2
3,Liv a sărit când a fost speriată de un zgomot puternic.,A realizat că era becul din bucătărie care se stinge.,A scos un scaun şi a păşit pe el.,S-a clătinat sub ea şi aproape că a căzut.,Liv a decis să schimbe un bec în baie.,Liv a schimbat apoi becul.,2
4,Mama le-a spus copiilor ei că va fi ora prânzului în cincisprezece minute.,Dar apoi a primit un telefon important.,"În timp ce ea vorbea, câinele a târât noroi peste tot în bucătărie.","Copiii au început să-şi hărţuiască mama, care era încă la telefon.",Mama a fost foarte frustrată.,Comportamentul copiilor a calmat-o pe mama lor.,1
5,Hector a cumpărat întotdeauna cafea la un magazin local înainte de muncă.,Îşi dă seama că obiceiul său de a cumpăra cafea e foarte scump.,"Într-o zi, Hector decide să facă cafea acasă.",E mândru că cafeaua pe care a făcut-o acasă este atât de bună.,Hector a continuat să-şi facă propria cafea şi a economisit bani.,Hector a început să cumpere mai multă cafea de la Starbucks.,1
6,Kelly a aflat că e o fată nouă la şcoală.,"Când a intrat în şcoală, a plecat să o caute.","Când a întâlnit-o, ea a invitat-o să stea cu ea la prânz.","Când au luat prânzul, fetele au devenit prietene.",Kelly nu a mai vorbit cu ea.,Kelly era fericită că şi-a făcut un nou prieten.,2
7,Tommy s-a antrenat din greu pentru a alerga primul său 5K.,"În timpul cursei, s-a simţit frustrat când atâţia oameni l-au trecut.",Când a auzit numele său numit în timpul premiilor a fost șocat.,Nu a realizat că vor face premii după grupuri de vârstă.,Îi era ruşine că nu a primit nicio recunoaştere.,"Era mândru că a terminat primul în categoria de vârstă, dar al zecelea în general.",2
8,Laurie se duce la primul ei dans oficial în seara asta.,Amicul ei a luat-o şi i-a dat un trandafir frumos.,Laurie purta o rochie lungă şi strălucitoare.,Au dansat şi s-au distrat cu toţi prietenii lor.,Laurie a plecat acasă plângând.,Laurie a încheiat seara sărutându-şi partenerul.,2
9,Neil explora căile ferate istorice.,"A intrat în Scranton, Pennsylvania.",Şi-a dat seama că era un vechi şi frumos garaj de tren.,A făcut multe fotografii cât a fost acolo.,Neil a şters toate pozele.,Neil a salvat fotografiile pe computerul lui.,2
10,Bob s-a temut de prima sa zi de lucru la un local de mâncare rapidă.,Avea de gând să aştepte să-şi pună uniforma sa de marin.,Bob a ajuns la lucru de a face hamburgeri de pește după punerea pe uniformă.,"Era atât de ocupat, încât a uitat să se schimbe în hainele de stradă.",Bob a iubit atât de mult că a arătat-o prietenilor săi.,Bob a ieşit după muncă îmbrăcat în costumul de marinar.,2
11,Un prieten a venit în vizită.,I-am spus că câinele meu muşcă.,Nu m-a ascultat.,A încercat să-l mângâie şi să se joace cu el.,A fost muşcată de câinele meu.,Câinele meu a fugit.,1
12,Lester a vrut întotdeauna să fie mai artistic.,"Într-o zi, el decide să încerce să deseneze o floare.",Stă în faţa unei orhidee frumoase şi începe să deseneze.,Desenul lui Lester iese foarte bine.,El atârnă poza pe peretele din sufragerie.,El decide să nu mai deseneze nimic niciodată.,1
13,Lui Pablo îi place să mănânce viermi.,A citit o carte la şcoală despre cum se face asta.,Le prăjeşte în ulei de măsline.,Îi place să facă asta cel puţin o dată pe lună.,Pablo se bucură de viermi şi îi consideră o delicatesă.,Lui Pablo nu-i place să mănânce viermi.,1
14,Kira a iubit întotdeauna cultura japoneză.,Multe dintre filmele ei preferate erau în japoneză.,Ea a decis că va călători acolo.,Ani de zile a economisit bani pentru călătorie.,A cheltuit toţi banii pe pantofi.,A fost cea mai bună călătorie din viaţa ei.,2
15,Glen avea chef de o plimbare.,Şi-a pus jacheta şi a ieşit afară.,"În timp ce mergea pe trotuar, s-a împiedicat şi şi-a rupt genunchiul.",Glen s-a ridicat din nou şi a şchiopătat până la casa lui.,Glen a alergat cel mai bun maraton timp vreodată.,Glen a jurat că nu va mai putea să meargă niciodată.,2
16,Iisus a petrecut ziua lustruind mobila.,"Pe măsură ce se apropia noaptea, el a făcut un studiu al muncii pe care o făcuse.",Totul părea strălucitor şi nou.,Isus i-a invitat pe toţi prietenii săi la o petrecere în seara aceea.,Au spus că mobila lui arată bine.,Prietenii lui i-au lustruit mobila.,1
17,Am fost de mers pe jos la magazin recent.,"Când am trecut de o ieşire, am simţit un fier rece şi dur pe braţul meu.",Am fost şocat că eram lovit de o maşină!,Şoferul s-a scuzat după ce a văzut că am fost lovit.,Le-am spus că e în regulă şi apoi am plecat.,Şoferul maşinii s-a supărat foarte tare pe mine.,1
18,Sora lui Gina şi-a tăiat glezna cu un geam spart.,Sângele a curgat pe picior şi în pantof.,Când a văzut sângele a fugit acasă.,"Gina a fugit în urma ei, dar nu a putut ține pasul.","Când au ajuns acasă, au mâncat toate îngheţată.",Sora Ginei a fost la doctor.,2
19,Un băieţel era în clasa a treia.,"Era foarte inteligent, dar avea probleme cu cititul.","De fiecare dată când citea cu voce tare, colegii lui de clasă râdeau de el.",A început să practice cititul în fiecare zi.,Băiatul mic a acceptat că nu se va îmbunătăţi niciodată.,"La sfârşitul anului, a făcut bine testul de citire.",2
