,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"我喺 2011 年開始系""法律與秩序""嘅粉絲.",我因為中風而咗,"當我返到屋企,我試咗睇每集","試圖睇""20年嘅節目""真係好難","我覺得""法律與秩序""係有史以來最差嘅節目之一.",最後我睇到全部,2
1,每個人都好鍾意 Bob 因為佢喺電影裏面扮演出好受歡迎嘅角色.,伯好憎佢 因為佢同呢個角色完全無關,Jim 請 Bob 講佢角色嘅名詞.,"波布嘅憤怒唔係止止嘅,佢真係發咗",Bob 叫嗰個人放佢個個咁.,Bob 請嗰個人飲茶.,1
2,Lita 想睇佢最鐘意嘅電視節目.,佢啲細路都好想佢 可以坐低同佢哋睇電影,Lita話佢有做家務.,佢啲細路將啲衣物 拖入客廳,Lita 訂咗個午餐pizza.,Lita睇電視時折咗啲衫.,2
3,"響個聲,莉娃就咗下來",佢發現係佢房嘅燈泡著咗,"佢攞咗個腳,然後踩咗佢","佢搖,然後差點跌落嚟",Liv決定要喺浴室換燈.,"之後,Liv 更換咗個電筒",2
4,我媽媽話啲細路十五分鐘之後就到咗午餐時間.,但之後佢接咗個好重要嘅電話,"當佢講緊,嗰隻狗就拖著泥土去房.","細路開始佢地嘅媽媽,佢仲系度話",佢嘅母親覺得好喪,細路嘅行為令母親平靜下來.,1
5,Hector成日喺工作之前去附近嘅咖啡店買咖啡.,佢發現佢買咖啡嘅習慣好貴,"有一日,赫克托決定喺屋企煮咖啡",佢為佢喺屋企煮嘅咖啡好自豪.,"Hector繼續自製咖啡, 節省咗好多錢.",Hector開始喺星巴克買更多咖啡,1
6,凱莉發現學校有一個新女仔,"當佢入去學校時,佢就搵緊佢","當佢遇到佢嘅時候,佢邀請佢坐下來吃午餐.","當佢哋食咗午餐之後,佢哋成為咗朋友.",凱莉從此之後從來冇同佢傾過,凱莉好高興自己有咗新朋友.,2
7,"Tommy好努力咁訓練,先跑到第一個五公里.","當佢喺場跑嘅時候,佢覺得好喪, 因為有好多人過佢.",當佢聽到有人喺頒獎典禮上叫佢個名嘅時候 佢好震驚,佢唔知啲獎項係咪按年齡組別頒發嘅,"因為佢覺得自己冇得到任何認可,佢覺得好尬","佢以年排名第一,總排名第十為榮.",2
8,今晚洛莉會去佢嘅第一個正式舞蹈.,佢嘅約會夥伴帶佢上車 送咗佢一朵,"Laurie 穿著一條長長,閃嘅衫.",佢哋喺自己嘅朋友身上跳舞同玩.,洛莉返屋企嗰陣都喺度喊,洛莉喺晚上吻咗佢約會對象.,2
9,Neil 正在探索歷史火車道,佢騎過馬去賓夕法尼亞州斯克蘭頓,"佢發現嗰度係一間靚,舊車站","佢喺嗰度嘅時候,影咗好多相.",Neil 將佢全部嘅相除咗.,Neil 將相片存喺佢部電腦度.,2
10,"Bob 第一日喺魚快餐店開工,好驚",佢計劃要等著著著佢靚嘅船長服裝,"穿完制服之後,Bob開始做魚燒.","佢好忙,甚至唔記得換返街頭嘅服裝","Bob 好鍾意呢套衫,佢甚至將佢俾佢啲朋友睇",Bob喺工作之後帶著水手套衫出街.,2
11,我有個朋友嚟探我.,我話佢我個狗會咬人.,佢冇聽我講.,"佢想撫摸佢,同佢玩.",我個狗咬咗佢.,我個狗跑咗咗.,1
12,Lester 一直都想成為一個藝術家,"有一日,佢決定畫一朵花","佢坐喺靚嘅花前面,開始畫畫.",莱斯特嘅畫面都好好,佢將幅相掛喺客廳嘅牆上.,佢決定唔再畫嘢,1
13,帕布羅鍾意食蟲.,佢喺學校讀過一本關於做哩樣嘢嘅書,佢將啲雞仔喺橄油度.,佢鐘意一個月至少做一次咁.,帕布羅鐘意蟲 佢認為佢哋係好美食,帕布羅唔鍾意食蟲.,1
14,Kira 一直都好鍾意日本文化.,佢好鍾意嘅電影好多都係日文嘅.,佢決定去嗰度旅行.,"噉多年嚟,佢為咗旅行咗好多錢",佢將全部錢都用喺鞋子度.,呢個係佢人生中最美好嘅旅行,2
15,Glen 好想散步.,"佢著咗件外套,出去.","喺行人路行嘅時候,佢跌倒,膝蓋折咗.",Glen又起身地走返屋企,Glen跑咗佢有史以來最快嘅馬拉松時間.,Glen發誓佢永遠都唔會再行路.,2
16,耶穌用咗成日去磨家具.,隨著夜晚接近 佢觀察自己做過嘅工作,一切都望落去都好似新鮮爛.,"嗰晚,耶穌邀請佢所有嘅朋友去宴會上","佢哋話,佢嘅家具睇上去好靚.",佢嘅朋友都咗家具.,1
17,我最近喺商場行路.,"當我行過一個出口 我感覺到我手臂有硬,冰冷嘅鋼筋","我好驚訝,因為我被一架車撞咗","當司機見到我被撞之後,佢好抱歉","我話畀佢哋聽我唔介意,然後就走咗",司機對我好.,1
18,Gina 嘅妹妹因為玻璃碎片而割咗腳.,"佢隻腳流咗血,到咗佢嘅鞋底","當佢見到血流,佢就跑返屋企","Gina跑到佢後面,但佢跟唔上","佢哋返到屋企時,食咗冰淋.",吉娜嘅妹妹去咗醫生.,2
19,有個男仔喺三年級,"佢好聰明,但佢讀書都","每次佢大聲讀書,佢同學都笑佢.",佢開始每日練習閱讀,呢個男仔接受咗 佢永遠唔會有改善,"喺年尾,佢做得好好,佢讀得好好.",2
20,羅西嘅班級喺度開緊一個派對,佢決定為大家整一塊水果沙律.,佢花咗好多錢買果實 同埋花咗好多時間準備佢,"喺派對嗰日,佢咗個大碗果沙律",羅西同佢一齊吃水果沙律,Rosie喺屋企冰箱度擺咗個果沙律碗.,1
21,凱莉因為有咗新手機而好開心,佢隨身帶住去任何地方.,"但不幸嘅係,佢將佢自己撞到碎片中","但好彩嘅係,佢已經幫手整好佢",商店畀咗佢一筆錢去修理,Kelly買咗新手機.,1
22,我讀大學嗰時認識咗一位比我年紀大嘅人,"我當時 22 歲,佢 38 歲","我哋有咗良好嘅關係,我哋一齊度過咗美好嘅時間.","我去佐個學校,我地成日一齊.",我有好好嘅回憶.,我對嗰段時間有壞記憶.,1
23,Bob想喺學校嘅劇入面表演.,佢仔細研究咗角色嘅角色,佢經常練習佢嘅話.,"喺試唱會嘅第一日,佢做得好好",Bob 非常自豪.,Bob 覺得好尬.,1
24,Jackie 被任命為八年級嘅堂課監理,班內人都慕佢.,同學經常將佢份工置於危險之中.,佢哋會偷睇 Jackie 嘅入口牌,校長咗佢啲嘅同學.,佢嘅同學因為佢哋嘅行為而得到獎項.,1
25,我爸爸啱啱買咗架新車.,"為咗慶祝,我哋一起出去開車",另一輛車喺停車牌旁邊撞到我哋,我打開窗好大到破咗,"我爬出嚟,我同爸爸都好咗",我哋都俾嗰架車撞到.,1
26,"我女好鍾意""冰淋""電影.",佢永遠都想著上佢.,佢喺屋企周圍唱歌.,"佢鐘意大叫,唔理,唔理.","佢一直唱著呢首歌,一遍又一遍.","佢鍾意運動,但憎公主般嘅行為",1
27,阿列克斯喺球場上狂奔 隊伍只剩下兩分,佢望住個分數板 睇到剩低五秒鐘,佢好努力搵一個可以同佢開心嘅人,防守隊員好似水一樣同佢,"個鐘響,佢嘅隊伍贏咗","佢嘗試投三分球,但失敗咗.",2
28,"我入去圖書館,坐下.","當我周圍睇嘅時候,我睇到一個細路.",佢睇住我一陣.,"我開始有啲,坐喺一旁.",我無介意個細路係點做嘢.,我問佢有咩問題.,2
29,Iva同 Brant 嘗試生一個細路,"佢哋嘗試咗六個月,但都失敗咗",佢哋去咗醫生嗰度 佢哋都覺得好喪,但係之後佢哋見到醫生笑咗,布蘭特會取消綁架一個細路嘅計劃,呢對夫婦會好高興知道佢哋有個細路,2
30,凱瑟琳一直都對空運動有好奇心,凱瑟琳鍾意睇電視上運動員嘅表演.,"有一日,凱瑟琳決定去睇一場空運動嘅訓練","喺運動會上,其中一個運動員邀請咗凱瑟琳去運動.",之後佢開始日日咁練習 令佢喺練習上變得好熟,凱瑟琳覺得髮係好無聊嘅,1
31,Francis 一直都好期待學駕駛.,最後佢大到可以攞駕照.,"Francis 好努力咁讀書,攞到執照.",佢好容易咁通過駕駛考試.,弗朗西斯為佢成就感到自豪,Francis決定要坐公共交通工具,1
32,"我昨天睇""破子""好好玩.",我好中意呢部電影,"當舞者上台時,舞蹈真係好美好",我好榮幸可以見到呢個節目,我發誓我再唔會見到佢,我又想睇下佢.,2
33,我喺八點半起身去上堂,我地起床沖涼.,"我好快咁食早餐,然後行到上課.",半個鐘頭嘅課程結束之後 我行返去我屋企嘅宿舍,我決定返去上堂,"我一到嗰度,瞓咗一.",2
34,Gary 想引起 Lisa 嘅注意,"有一日,佢決定寫一首詩俾 Lisa","第二日喺學校,加里見到莉莎企喺走廊度","蓋瑞笑咗一笑,攞咗一首詩俾佢",Gary 猛咁打 Lisa 然後走咗,Lisa 同樣話佢鍾意 Gary,2
35,卡洛斯一直都想去法國.,佢決定要喺去之前學法文.,"佢去咗夜間課堂,努力讀書",最後卡洛斯講法文都講得好好.,Carlos預訂咗一架飛往澳洲嘅機票.,Carlos 喺佢去巴黎嘅行途中學到法文嘅好處.,2
36,拉斯總係想嘗試攝影,佢嘅朋友係攝影師 佢從來冇試過呢套技術,"有一日,佢買咗部簡易嘅 但好高品質嘅相機","從嗰日起,拉斯每日都影大自然嘅相",拉斯愛上咗攝影.,拉斯好憎攝影.,1
37,我喺電子商店買咗一個電視機.,"佢係一大幕 畫質好高,解像度好好","個員工說服我買一張保證書,以防萬一.","一個星期之後,電視機掉咗落來,壞咗",我已經喺保固期內修好佢.,之後嗰個員工就被人發現死亡,1
38,瑞安喺一個公園度.,佢睇到一個小女孩住個氣球,當佢離開公園嘅時候 佢見到個氣球撞落樹度,佢爬上樹去攞個氣球.,之後瑞恩故意咗個氣球,之後 Ryan 揾返個女仔 畀咗佢個失落嘅氣球,2
39,Jen 嘅經理話佢要上傳佢嘅簡歷,佢發現佢嘅履歷表格唔啱,佢將所有資料轉到合適嘅模板上,佢更新咗佢嘅簡歷 仲寫咗佢最近嘅工作,然後佢將佢寄俾經理,Jen 討厭洗碗.,1
40,Neil 曾經喺城市 Fez 遊覽過,佢試過佢哋唧民族.,之後佢去咗買嘢做紀念品,"佢話,菲斯都有好好嘅街頭表演者.",Neil 好開心.,尼爾同菲斯成為咗好朋友,1
41,我需要帶我隻狗出去散步.,我家附近嘅社區需要人帶住帶,我喺屋企搵咗個帶,我搵唔到,我決定帶我隻狗去後院.,我畀我隻狗入到屋企.,1
42,"嗰日嘅天氣好晴,好暖.",所以 Joe 覺得散步會好好,佢決定步行去佢嘅本地咖啡店,"但一路而嚟,佢開始累",所以佢跑去咖啡店,喬好後悔出去.,2
43,Jen 一日都係度等一個包裹.,最後佢見到個飛仔走埋嚟,"佢將包裹攞返嚟,而佢將佢放返屋企",佢用刀打開包裹.,個盒入面有一個啱出世嘅嬰兒.,Jen喺包裹裏面搵到新外套,2
44,Frank唔想做佢個功課.,佢反而想玩電玩遊戲,Frank 嘅父母叫佢先做佢個功課.,"Frank發氣,同埋佢俾罰.",弗蘭克喺一個星期內唔玩電玩.,Frank 得到一個全新嘅遊戲.,1
45,Timmy 係喺佢學校嘅三分比賽入場,贏家有機會獲得一千美金嘅大學獎學金,提米整個週末都練習射三分球.,"當比賽日到嘅時候,佢已經準備好咗",蒂米贏咗比賽.,"喺比賽日,蒂米去咗操場.",1
46,德雷克星期五去咗一個派對.,佢發現佢件外套裡面有個錢包被偷走咗.,德雷克立刻打電話俾警察 但係佢哋搵唔到錢包,Drake 同宴會主持人討論咗呢個問題,主持人話佢都唔知,Drake 同主持人講佢想再去佢個派對,1
47,Bob發現佢嘅貨車嘅輪胎被咗.,佢從來未換過車輪,佢攞出皮套同埋鐵皮套,佢取唔到螺栓.,Bob叫人去修理佢個破車輪.,Bob 駕駛佢嘅貨車去市場.,1
48,Jack 已經唔想再喺平板電腦上寫電郵.,佢決定要投資一台筆記型電腦,佢用咗好多種方法去搵出最合適嘅電腦,最後佢買咗架,而家 Jack 實際上鐘意返信電郵,Jack依家用郵政而唔係用電子郵件.,1
49,我覺得 Jake 嘅頭髮長咗一點,佢即將接受一份工作面試,佢叫佢媽咪剪佢頭髮.,佢媽媽幫佢剪好專業嘅頭髮.,Jake 洗咗手.,Jake 得到咗呢份工,2
50,"今日,肖恩嚟咗揾我.","我同 Sam,Sean 玩咗個遊戲","佢哋開始我,因為我太差啦","佢哋話,我唔可以再玩, 直至我好返.",我真係好傷心,我真係好高興.,1
51,Sarah 想寄張卡俾佢.,佢去咗郵局.,佢為郵票付出咗錢.,佢將信放入一個信封入面.,Sarah 自己寄咗封信.,莎拉嘅信好快就嚟到目的地.,2
52,Chuck因為工作而.,佢暫時唔再做嘢.,佢用佢嘅網站同同事傾偈,"打完嗰啲壞嘅""佐爾塔""片之後 佢需要休息一下",Chuck決定辭咗佢工作.,之後佢覺得自己應該返去工作.,2
53,Bob 用塑膠袋去買嘢.,之後佢朋友又話畀佢知 塑膠唔好影響環境,Bob決定放棄佢啲塑膠袋.,Bob 投資咗幾袋可重複使用嘅食品袋,Bob 用佢可以再用嘅雜貨袋去買嘢.,Bob仲繼續用佢啲塑膠袋 去買嘢.,1
54,Joe需要為佢自己做一幅作品嘅肖像,佢打電話畀啲藝術家 問下佢哋嘅價錢,有個藝術家畀咗我合理嘅價錢.,"Joe 同嗰位藝術家訂咗約,要佢幫佢做肖像",喬對於結果都非常滿意.,呢個藝術家畫咗一個喬嘅貓.,1
55,Ann 試圖戒煙.,"佢試過幾次,但每次都係失敗.",之後佢用尼古丁貼片去整隻手,我幫佢!,安妮每日吸嘅香煙量翻番.,安妮成功地戒咗吸煙.,2
56,Jen 俾阿送去夏天住.,佢好憎佢佢成個夏天 冇去睇佢本地圖書館嘅書,"佢帶咗幾個書,但佢好快就睇曬佢哋.","當佢到達嘅時候,佢阿帶佢入去一個特別嘅房間",Jen睇到佢啲書喺壁上燒著.,"房間滿滿的書架, 吸引女孩們的書.",2
57,昨天係羅布嘅牙清潔.,佢通常好怕牙醫.,"但係喺辦公室入面有一個新嘅,可愛嘅護士",所以佢好興奮,羅布喺佢結腸鏡檢查之後覺得好爽,當嗰日嗰個可愛嘅護士冇嚟嘅時候 羅布覺得喪,2
58,喬好鍾意食泥土.,每有機會佢都會整到泥土餅,"佢食緊一個,佢感覺到啲嘢喺佢個嘴度好硬.","Joe 咬咗一個石頭,同埋咗個牙.",喬想更多嘅石頭.,喬決定唔再食泥土.,2
59,Rob從來未坐過過過山車.,Rob 嘅朋友畀佢一張免費飛機去 Six Flags,Rob 決定要加入我哋,佢哋全部都去排好長嘅隊伍,Rob 有好多好朋友.,Rob 嘅朋友都好無聊.,1
60,卡莉喺度等住薩姆打電話俾佢.,佢應承咗要喺星期五嚟.,"星期六係晚上,佢仲未聽嘢",最後佢決定打電話畀佢,Sam 接電話.,卡莉係電話度叫咗去外賣食物.,1
61,"Amy喺佢生日嗰日返屋企,佢喺學校搵唔到人","佢好,因為人人都唔記得佢特別嘅一日.",佢悲傷咁入去客廳.,"突然間,佢嘅朋友同家人從佢哋藏身嘅地方跳出嚟",Amy 笑得好開心.,"Amy走出房間,離開屋企.",1
62,潘試圖無任何原因擊打我.,"我好,所以一拳都冇打,就冇打.",佢繼續向我拳.,"我嘗試阻止佢,將佢丟喺地度.",最後Pan停咗下來.,我俾潘一個大份嘅擁抱.,1
63,Becky 有個叫 Ashley 嘅表妹.,貝基同阿什利係細路嘅時候係朋友,"Ashley 開始嘅時候,佢都長大咗.",佢因為喺商場偷浴巾而入監,貝基同佢溝通唔到,Becky 對 Ashley 感到驕傲.,1
64,帕姆同湯姆嘅嬰兒好輕快地瞓覺.,佢哋唔認真嘅鄰居成日會將狗留喺屋外大叫,"每次帕姆將佢嘅細路入睡,個狗就開始吠.","帕姆夢想將隻狗放到空度,令佢跑去.","有一晚,Pam 俾貓咪入嚟佢屋企","有一晚,帕姆決定將啲狗放到大地上.",2
65,梅被入學弗雷多尼亞大學.,佢坐咗巴士去佢新嘅學校.,佢探索咗呢個學園.,佢鍾意佢見到嘅嘢,佢離開學校.,佢甚至鍾意佢嘅所有老師,2
66,Mary需要牙.,佢想牙醫叫佢瞓覺.,佢只能夠用新可卡因鎮靜心,Mary 驚訝地望住佢.,"牙醫見到佢個表情之後,佢就幫到佢.",Mary 離開牙醫嘅時候心情好.,1
67,福特為佢高中成績而自豪.,"每晚,佢會做一啲功課嚟令佢學得更加好",福特嘅朋友提醒佢 佢將會錯過一個好有趣嘅時刻,"喺後生,福特成為一位成功嘅律師",福特因為做得咁多而覺得喪,福特為佢成就感到自豪.,2
68,我老婆話我冇熱情.,我冇太多嘅興趣或者嗜好,"我嘗試去辯論,但係失敗.",我意識到佢係啱嘅.,我決定要改變.,我仲未婚.,1
69,Nina想要一套漂亮嘅萬聖節服裝.,但係佢買唔到任何奢嘅嘢,佢搵緊啲諗法喺屋企,"然後,佢又攞住件好靚嘅扮衫衫",Nina買咗一個玩具.,尼娜好興奮,2
