,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Я стаў фанатам ""Права і парадак"" у 2011.",Я аднаўляўся пасля інсульту.,"Калі я вярнуўся дадому, я паспрабаваў паглядзець кожны эпізод.",Гэта было цяжка спрабаваць Binge глядзець 20 гадоў шоу.,"Я думаю, што ""Закон і парадак"" - адно з найгоршых шоу, што калі-небудзь рабілася.",У рэшце рэшт я паглядзеў усе іх.,2
1,"Боба любілі ўсе, бо ён граў папулярную ролю ў фільме.","Бобу гэта не падабалася, бо ён зусім не падобны на гэтую персанаж.",Джым папрасіў Боба сказаць фразу свайго героя.,Гэта было занадта шмат для Боба і ён выбухнуў ад лютасці.,Боб сказаў чалавеку пакінуць яго ў спакоі.,Боб папрасіў у чалавека гарбаты.,1
2,Літа хацела паглядзець сваё любімае шоу па тэлебачанні.,"Яе дзеці настойвалі, каб яна паглядзела разам з імі.","Літа сказала ім, што ў яе ёсць што зрабіць.",Дзеткі пацягнулі яе кошык з белай бялізнай у гасціную.,Літа замовіла піцу з пепэроні на абед.,"Літа склала бялізну, гледзячы тэлевізар.",2
3,"Жыў скакаў, як яна была ўразіла гучным поп.","Яна зразумела, што гэта была лямпачка ў яе кухні выгарае.",Яна выйшла на падлогу і наступіла на яго.,"Ён хістаўся пад ёй, і яна амаль упала.",Лів вырашыла змяніць лямпачку ў ваннай.,Тады Лів змяніла лямпачку.,2
4,"Маці сказала сваім дзецям, што праз пятнаццаць хвілін будзе абед.",Але потым ёй патэлефанавалі.,"Пакуль яна размаўляла, сабака пацягнуў усё на кухні.","Дзеці пачалі дакучлівымі словамі дацікацца да маці, якая ўсё яшчэ размаўляла па тэлефоне.",Маці была вельмі засмучаная.,Паводзіны дзяцей супакоілі маці.,1
5,Гектар заўсёды купляў каву ў мясцовай краме перад працай.,"Ён разумее, што яго звычка купляць каву вельмі дорага.",Аднойчы Гектар вырашыў прыгатаваць каву дома.,"Ён ганарыцца тым, што яго хатняя кава такая смачная.",Гектар працягваў піць каву і эканоміў грошы.,"Гектар пачаў купляць яшчэ больш кавы ў ""Старбакс"".",1
6,"Келлі даведалася, што ў школе ёсць новая дзяўчына.",Калі яна ўвайшла ў школу яна пайшла шукаць яе.,"Калі яна сустрэла яе, яна запрасіла яе сесці з ёй на абед.","Калі яны абедалі, дзяўчаты пасябравалі.",Келлі больш ніколі з ёй не размаўляла.,"Келлі была рада, што знайшла новага сябра.",2
7,"Томмі старанна трэніраваўся, каб бегчы першыя 5 км.","Падчас гонкі ён адчуваў сябе расчараваным, калі столькі людзей прайшлі яго.","Калі ён пачуў, як яго імя называюць падчас ўзнагарод ён быў у шоку.","Ён не ведаў, што яны будуць рабіць узнагароды па ўзроставай групе.","Яму было сорамна, што яго не пазналі.","Ён ганарыўся тым, што заняў першае месца па ўзросце, але дзясятае ў агульным заліку.",2
8,Лоры збіраецца на свой першы афіцыйны танец сёння ўвечары.,Яе спадарожнік забраў яе і даў ёй прыгожую ружу.,Лоры насіла доўгую бліскучую сукенку.,Яны танчылі і весела бавілі час з усімі сваімі сябрамі.,Лары пайшла дадому плачучы.,"Лары пацалавала хлопца, з якім ішла.",2
9,Ніл даследаваў гістарычныя чыгункі.,"Ён ехаў у Скрантон, штат Пенсільванія.","Ён зразумеў, што гэта прыгожы стары чыгуначны вакзал.","Ён зрабіў шмат фотаздымкаў, пакуль быў там.",Ніл выдаліў усе свае фатаграфіі.,Ніл захаваў фотаздымкі на сваім кампутары.,2
10,Боб спалохаўся свайго першага дня працы ў рыбным заведніку хуткага харчавання.,"Ён планаваў пачакаць, каб надзець яго яркі марской форме.","Боб прыступіў да працы, робячы рыбныя гамбургеры пасля апранання ўніформы.","Ён быў так заняты, што забыўся пераапрануцца ў сваю вулічную вопратку","Боб так любіў гэты нарад, што паказваў яго сваім сябрам.",Боб выйшаў пасля працы ў маракавым касцюме.,2
11,Прыехаў у госці сябар.,"Я сказаў ёй, што мая сабака кусае.",Яна не слухала.,яна спрабавала даглядаць яго і гуляць з ім.,Мой сабака яе ўкусіў.,Мой сабака ўцёк.,1
12,Лестэр заўсёды хацеў быць больш мастацкім.,Аднойчы ён вырашае паспрабаваць намаляваць кветку.,Ён сядзіць перад прыгожай архідэяй і пачынае маляваць.,Малюнак Лестера выходзіць вельмі добра.,Ён павесіць карціну на сцяне ў сваёй гасцінай.,Ён вырашае больш ніколі нічога не маляваць.,1
13,Пабла любіць есці чарвякоў.,"Ён чытаў у школе кнігу, як гэта зрабіць.",Ён смажыць іх у аліўкавым алеі.,Ён любіць рабіць гэта як мінімум раз у месяц.,Пабла любіць чарвякоў і лічыць іх дэлікатэсам.,Пабла не любіць есці чарвякоў.,1
14,Кіра заўсёды любіў японскую культуру.,Многія з яе любімых фільмаў былі на японскай мове.,"Яна вырашыла, што адправіцца туды.",На працягу многіх гадоў яна адкладала грошы на сваю паездку.,Яна выдаткавала ўсе грошы на абутак.,Гэта была лепшая паездка ў яе жыцці.,2
15,Глен быў у настроі для прагулкі.,Ён апрануў куртку і выйшаў на двор.,Падчас хады на тратуары ён спатыкнуўся і разарваў калена.,Глен устаў і кульгаў назад у свой дом.,Глен прабег свой найлепшы час у марафоне за ўсю яго гісторыю.,"Глен прысягаў, што больш ніколі не будзе хадзіць.",2
16,"Ісус правёў дзень, паліруючы мэблю.","Як надыходзіла ноч ён агледзеў працу, якую ён зрабіў.",Усё выглядала бліскуча і новае.,Ісус запрасіў усіх сваіх сяброў на вечарыну.,"Яны сказалі, што яго мэбля выглядала добра.",Яго сябры паліравалі яго мэблю.,1
