,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Minusta tuli laki- ja järjestysfani vuonna 2011.,Olin toipumassa aivohalvauksesta.,Kotiin tultuani yritin katsoa jokaisen jakson.,Oli vaikea yrittää katsoa 20 vuoden sarjaa.,"""Lait ja järjestys"" on yksi huonoimmista sarjoista.",Lopulta katsoin ne kaikki.,2
1,Bob oli suosittu elokuvahahmo.,"Bob vihasi sitä, koska hän ei ollut samanlainen kuin se hahmo.",Jim pyysi Bobia sanomaan hahmonsa tunnuslauseen.,Bob oli liian raivona.,Bob käski miehen jättää hänet rauhaan.,Bob pyysi mieheltä teetä.,1
2,Lita halusi katsoa suosikkiohjelmaansa.,Hänen lapsensa vaativat häntä katsomaan sitä heidän kanssaan.,"Lita sanoi, että hänellä on töitä.",Hänen lapsensa raahasivat pyykkivalikon olohuoneeseen.,Lita tilasi pepperonipizzan lounaaksi.,Lita taitteli pyykkiä katsellessaan televisiota.,2
3,"Liv hyppäsi, kun hän säikähti kovalla räjähdysmäisellä äänellä.","Hän tajusi, että se oli keittiönsa lamppu, joka paloi.",Hän otti jalkaterän ja astui siihen.,Se heilui hänen allaan ja hän melkein putosi.,Liv päätti vaihtaa lampun kylpyhuoneessa.,Liv vaihtoi sitten lampun.,2
4,"Äiti sanoi lapsilleen, että lounasaika olisi viisitoista minuutin kuluttua.",Sitten hän sai tärkeän puhelun.,"Kun hän puhui, koira raahasi muta ympäri keittiötä.","Lapset alkoivat kiusata äitiään, joka oli yhä puhelimessa.",Äiti tunsi itsensä melko turhautuneeksi.,Lasten käytös rauhoitti äitiä.,1
5,Hector on aina ostanut kahvia paikallisesta kaupasta ennen töitä.,"Hän tajuaa, että hänen kahvinostostavallisuutensa on hyvin kallis.",Eräänä päivänä Hector päättää keittää kahvia kotona.,"Hän on ylpeä siitä, että hänen kotona tekemänsä kahvi on niin hyvää.",Hector keitti kahvia ja säästi rahaa.,Hector alkoi ostaa lisää kahvia Starbucksista.,1
6,"Kelly sai tietää, että koulussa on uusi tyttö.","Kun hän käveli kouluun, hän etsi häntä.","Kun hän tapasi hänet, hän kutsui hänet lounaalle.","Kun he söivät lounasta, tytöistä tuli ystäviä.",Kelly ei enää puhunut hänelle.,Kelly oli iloinen saadessaan uuden ystävän.,2
7,Tommy treenasi kovasti ensimmäistä 5 kilometriä varten.,"Kilpailun aikana hän tunsi turhautuneensa, kun niin monet ihmiset ohittivat hänet.","Hän järkyttyi, kun hänen nimeään kutsuttiin palkintoihin.","Hän ei tiennyt, että palkintoja jaetaan ikäryhmien mukaan.","Hän häpeää, ettei saanut tunnustusta.","Hän oli ylpeä siitä, että oli ensimmäinen ikäluokassa, mutta kymmenes kokonaisuudessaan.",2
8,Laurie menee tänään ensimmäiseen tanssiaisiin.,Tyttö otti hänet kyytiin ja antoi hänelle kauniin ruusun.,"Laurie oli pitkä, kimalteleva mekko.",He tanssivat ja pitivät hauskaa ystäviensä kanssa.,Laurie meni itkien kotiin.,Laurie suuteli seuralaistaan.,2
9,Neil tutki historiallisia rautatietä.,"Hän ratsasti Scrantoniin, Pennsylvaniassa.","Hän tajusi, että se oli kaunis vanha juna-asema.",Hän otti paljon kuvia ollessaan siellä.,Neil poisti kaikki kuvat.,Neil tallensi kuvat tietokoneeseen.,2
10,Bob pelkäsi ensimmäistä päivää kalaravintolassa.,"Hän aikoi odottaa, että päälle pääsee hänen kirkas merimiesuniforminsa.",Bob sai töitä kalaburgerin valmistuksessa univormun päällepanon jälkeen.,"Hän oli niin kiireinen, että unohti vaihtaa takaisin katuvaatteisiin.","Bob piti vaatteesta niin paljon, että näytti sitä ystävilleen.",Bob meni ulos töiden jälkeen merimiespuvussa.,2
11,Ystävä tuli käymään.,"Sanoin, että koirani puree.",Hän ei kuunnellut.,Hän yritti leikkiä ja hyväillä häntä.,Koirani puri häntä.,Koirani karkasi.,1
12,Lester on aina halunnut olla taiteellinen.,Hän päättää yrittää piirtää kukkaa.,Hän istuu kauniin orkidean edessä ja alkaa piirtää.,Lesterin piirros on hyvin tehty.,Hän ripusti kuvan olohuoneensa seinälle.,Hän päättää olla piirtämättä enää mitään.,1
13,Pablo syö mielellään matoja.,"Hän luki koulussa kirjan, miten tämä tehdään.",Hän paistaa ne oliiviöljyllä.,Hän tekee tämän ainakin kerran kuussa.,Pablo pitää madosta ja pitää sitä herkullisena herkkuvana.,Pablo ei pidä madon syömisestä.,1
14,Kira on aina rakastanut japanilaista kulttuuria.,Monet hänen lempielokuvansa olivat japania.,Hän päätti matkustaa sinne.,Hän oli säästänyt matkalle vuosia.,Hän käytti kaikki rahat kenkiin.,Se oli hänen elämänsä paras matka.,2
15,Glenillä oli mieli kävellä.,Hän pani takkinsa päälleen ja meni ulos.,"Kun hän käveli jalkakäytävällä, hän kompastui ja rikkoi polvensa.",Glen nousi takaisin ja limasi takaisin kotiinsa.,Glen juoksi parhaat maratoniaikansa.,"Glen vannoi, ettei hän enää kävele.",2
16,Jeesus vietti päivän huonekalujen kiillottamisessa.,"Kun yö lähestyi, hän katseli tekemänsä työtä.",Kaikki näytti kiiltävältä ja uudelta.,Jeesus kutsui kaikki ystävänsä juhliin sinä iltana.,Hänen huonekalujensa näyttivät hyviltä.,Hänen ystävänsä kiillottivat hänen huonekalujaan.,1
17,Kävelin kauppaan hiljattain.,"Kun kuljin uloskäynnin ohi, tunsin kylmää, kovaa terästä kädessäni.","Olin järkyttynyt, että auto oli ajautumassa minuun!","Kuski pyysi anteeksi, kun hän näki, että minut oli osunut.","Sanoin, että se on okei ja kävelin pois.",Auton kuljettaja suuttui minulle.,1
18,Ginan sisko viilsi nilkkansa lasinmurtumiin.,Veri juoksi hänen jalkaansa ja kenkiin.,"Kun hän näki veren, hän juoksi kotiin.","Gina juoksi hänen peräänsä, mutta ei pysynyt perässä.","Kun he tulivat kotiin, he söivät kaikki jäätelöä.",Ginan sisko meni lääkäriin.,2
19,Yksi poika oli kolmannella luokalla.,"Hän oli hyvin älykäs, mutta hänellä oli vaikeuksia lukemisen kanssa.","Aina kun hän luki ääneen, hänen luokkatoverinsa nauroivat hänelle.",Hän alkoi harjoitella lukemista joka päivä.,"Pikkupoika hyväksyi, ettei hän koskaan parane.",Vuoden lopussa hän onnistui lukemisen kokeessa.,2
20,Rosien luokalla oli pieni juhla.,Hän päätti tehdä hedelmäsalaatin kaikille.,Hän käytti paljon rahaa hedelmiin ja paljon aikaa niiden valmistamiseen.,Juhlan päivänä hän otti ison kulhon hedelmäsalaattia.,Rosien luokalla oli hedelmäsalaatti.,Rosie piti sen hedelmäsalaatin kylmälaatikossaan.,1
21,Kelly oli iloinen uudesta puhelimestaan.,Hän otti sen mukaansa kaikkialle.,Valitettavasti hän rikkoi sen.,Onneksi hän kuitenkin onnistui korjaamaan sen.,- Hän sai korjauksesta reilun hinnan.,Kelly osti uuden puhelimen.,1
22,Opiskellessani olin tavannut vanhemman miehen.,"Olin 22-vuotias, hän oli 38-vuotias.",Meillä oli hyvä ymmärrys ja meillä oli hauskaa yhdessä.,Olimme yhdessä koko ajan.,Minulla on hyviä muistoja siitä ajasta.,Minulla on negatiivisia muistoja siitä ajasta.,1
23,Bob halusi olla koulun näytelmässä.,Hän tutki roolia huolellisesti.,Hän harjoitteli usein repliikkinsä.,Hän teki hienoa työtä koe-esiintymispäivänä.,Bob oli hyvin ylpeä.,Bob häpeski sitä.,1
24,Jackie on nimetty kahdeksannella luokalla hallinvalvojaksi.,Häntä kadehditaan koko luokassa.,Luokkatovereidensa takia hänen työpaikkansa oli usein vaarassa.,He varastaisivat Jackien käytäväluvat.,Rehtori erotti hänen melunhaluiset luokkatoverinsa.,Hänen luokkatovereilleen annettiin palkintoja käytöksestään.,1
25,Isäni oli juuri ostanut uuden auton.,Juhlimme sitä ajelulla.,Toinen auto ohitti pysähdy-merkin ja törmäsi meihin.,"Löin ikkunaa niin kovaa, että se murtui.",Kiipesin ulos ja minä ja isäni olimme kunnossa.,Auto poltti meidät molemmat.,1
26,Veljentyttäreni rakastaa Frozen-elokuvaa.,Hän haluaa aina pitää sen päällä.,Hän käy laulaen ympäri taloa.,Hän rakastaa huutaa.,Hän laulaa sen yhä uudelleen.,Hän rakastaa urheilua ja vihaa prinsessajuttuja.,1
27,"Alex oli pelialueella, kun hänen joukkueensa oli kaksi pistettä jäljessä.","Hän katsoi tulostaulua ja näki, että jäljellä oli vain viisi sekuntia.","Hän etsi mieltään, kun yritti löytää avoimen miehen.",Puolustajat olivat kiinni hänen joukkuetovereistaan kuin liima.,Hänen tiiminsä voitti pelin.,Hän yritti kolmipistettä ja epäonnistui.,2
28,Tulin kirjastoon ja istuin.,"Kun katsoin ympärilleni, huomasin lapsen.",Hän tuijotti minua hetken.,Heräsin turhautuneena.,"En välittänyt, mitä poika teki.","Kysyin, mikä häntä vaivaa.",2
29,Iva ja Brant yrittivät saada lapsen.,He olivat yrittäneet kuusi kuukautta ilman menestystä.,Lääkärin tapaamisessa he ilmaisivat masennusta.,Mutta sitten he näkivät lääkärin hymyilevän.,Brant peruu suunnitelmansa kidnapata lapsi.,"Pariskunta on iloinen, kun saa tietää, että heillä on lapsi tulossa.",2
30,Catherine on aina ollut kiinnostunut curlingista.,Catherine rakastaa urheilijoiden katsomista televisiosta.,Eräänä päivänä Catherine päätti käydä curling-harjoituksissa.,Harjoittelussa yksi urheilijoista pyysi Catherinea pelaamaan.,Sitten Catherine alkoi harjoitella joka päivä ja tuli hyväksi siinä.,Catherine piti curlingia tylsänä.,1
31,Francis on aina halunnut oppia ajamaan.,Lopulta hän on tarpeeksi vanha ajokorttiin.,Francis opiskelee kovasti ajokortin saamiseksi.,Hän läpäisee ajokokeensa helposti.,Francis on todella ylpeä saavutuksestaan.,"Francis päättää, että hän kulkee mieluummin julkisilla kulkuneuvoilla.",1
32,Eilen oli hienoa nähdä Pähkinänmurtaja.,- Rakastin sitä.,"Tanssijat koristivat lavaa, ja se oli kaunista.",Minulle oli kunnia nähdä esitys.,"Vannoin, etten enää koskaan näkisi sitä.",Halusin nähdä sen uudestaan.,2
33,Heräsin tunnille puoli kahdeksalta aamulla.,Nousin unissaan sängystä ja kävin suihkussa.,Söin nopeasti aamiaisen ja aloin kävellä luokkaan.,50 minuutin luennon jälkeen aloin kävellä takaisin asuntolaan.,Päätin palata luokkaan.,"Kun pääsin sinne, otin nokoset.",2
34,Gary halusi Lisan huomion.,Eräänä päivänä hän päättää kirjoittaa runon Lisalle.,Seuraavana päivänä Gary näki Lisan käytävällä.,Gary hymyilee Lisalle ja antaa runon.,Gary läimäytti Lisää ja käveli pois.,Lisa tunnustaa myös olevansa ihastunut Garyn.,2
35,Carlos on aina halunnut vierailla Ranskassa.,"Hän päättää, että hänen pitäisi oppia puhumaan ranskaa ennen lähtöään.",Hän ilmoittautuu iltakurssille ja opiskelee kovasti.,Carlos osaa vihdoin puhua ranskaa.,Carlos varasi lentoa Australiaan.,Carlos käyttää ranskansa parhaiten Pariisiin matkassaan.,2
36,Lars oli aina halunnut kokeilla valokuvausta.,"Hänen ystävänsä oli loistava valokuvaaja, mutta hän ei ollut koskaan yrittänyt.","Eräänä päivänä hän osti yksinkertaisen, mutta laadukkaan kameran.",Siitä lähtien Lars kuvasi luontoa joka päivä.,Lars rakastui valokuvaukseen.,Lars vihasi valokuvausta.,1
37,Ostin television elektroniikkaliikkeestä.,"Se on iso tasokanta, jossa on korkealaatuinen kuva.",Työntekijä vakuutti minut ostamaan takuun.,Viikkoa myöhemmin televisio putosi seinästäni ja meni rikki.,Sain sen korjattua takuun avulla.,Työntekijä löydettiin myöhemmin kuolleena.,1
