,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Mwen te vin yon fanatik Lwa ak Lòd nan 2011.,Mwen t ap rekipere apre yon kriz.,"Lè m te rive lakay mwen, mwen te eseye gade chak epizòd.",Li te difisil pou eseye binge gade 20 ane nan yon montre.,Mwen panse ke Lwa ak Lòd se youn nan pi move montre ki te janm fèt.,"Evantyèlman, mwen te wè yo tout.",2
1,Tout moun te renmen Bob paske li te jwe yon karaktè popilè nan fim.,Bob te rayi li paske li pa t gen anyen tankou karaktè sa a.,Jim te mande Bob pou l di fraz karaktè li a.,Li te twò anpil pou Bob e li te eksploze ak kòlè.,Bob te di mesye a pou l kite l.,Bob te mande mesye a pou l ba li te.,1
2,Lita te vle gade pwogram li pi renmen an nan televizyon.,Timoun li yo te ensiste pou l te chita pou l gade l avèk yo.,Lita te di yo li gen travay pou l fè.,Timoun li yo trennen panyen pou lave rad li nan sal la.,Lita te bay lòd pou yon pitza pepperoni pou manje midi.,Lita te pliye rad la pandan li t ap gade televizyon.,2
3,Viv sote jan li te surpris pa yon pop fò.,Li te reyalize se te anpoul limyè ki te nan kwizin li ki te boule.,Li te jwenn yon ban pou pye e li te mache sou li.,Li te chanpiyon anba li e li te prèske tonbe.,Liv te deside chanje yon anpoul nan twalèt la.,"Lè sa a, Liv te chanje anpoul lan.",2
4,Manman te di pitit li yo ke li ta lè manje midi nan kenz minit.,"Men, li te resevwa yon apèl enpòtan nan telefòn.","Pandan l t ap pale, chen an te trennen labou nan tout kwizin nan.","Timoun yo te kòmanse boulvèse manman yo, ki te toujou nan telefòn lan.",Manman an te santi l byen fristre.,Konpòtman timoun yo te kalme manman an.,1
5,Hector toujou achte kafe nan yon boutik lokal anvan travay.,Li reyalize ke abitid li pou l achte kafe a koute anpil lajan.,"Yon jou, Hector deside fè kafe lakay li.",Li fyè paske kafe li fè lakay li bon anpil.,Hector te kontinye fè kafe pa l e li te ekonomize lajan.,Hector te kòmanse achte plis kafe nan Starbuck.,1
6,Kelly te jwenn ke te gen yon nouvo ti fi nan lekòl la.,Lè li te mache nan lekòl la li te ale nan kap chèche l '.,"Lè li te rankontre l, li te envite l chita bò kote l nan manje midi.","Lè yo te manje midi, ti fi yo te vin zanmi.",Kelly pa janm pale avè l ankò.,Kelly te kontan dèske li te fè yon nouvo zanmi.,2
7,Tommy te antrene anpil pou li te kouri premye 5K li.,"Pandan kous la, li te santi l fristre lè anpil moun te pase devan l.",Lè li te tande non li te rele pandan prim li te choke.,Li pa t reyalize yo ta fè prim pa gwoup laj.,Li te wont ke li pa t 'jwenn okenn rekonesans.,Li te fyè pou fini premye nan laj men dizyèm an jeneral.,2
8,Laurie pral nan premye dans fòmèl li aswè a.,Moun li te ale avè l la te pran l e li te ba l yon bèl roz.,Laurie te mete yon rad long ki te klere.,Yo te danse e yo te pran plezi ak tout zanmi yo.,Laurie te ale lakay li ap kriye.,"Lè Laurie te fini aswè a, li te bo moun li te vin avè l la.",2
9,Neil te eksplore ray tren istorik.,"Li te monte nan Scranton, Pennsilvani.",Li te reyalize li te yon depo tren bèl fin vye granmoun.,Li te pran anpil foto pandan li te la.,Neil efase tout foto li yo.,Neil te sove foto yo sou òdinatè l.,2
10,Bob te pè premye jou li te travay nan yon restoran manje rapid.,Li te gen plan pou l tann pou l mete inifòm marin li a.,Bob te vin travay fè hamburger pwason apre mete sou inifòm lan.,"Li te tèlman okipe, li bliye chanje tounen nan rad lari l 'yo",Bob te renmen rad la anpil li te montre l bay zanmi l yo.,Bob te soti apre travay mete kostim marinè a.,2
11,Yon zanmi vin vizite m.,Mwen te di l ke chen m' lan mòde.,Li pa t koute.,li te eseye pet li ak jwe avè l.,Chen m' te mòde l.,Chen m te kouri.,1
12,Lester te toujou vle pou yo te plis atistik.,Li deside eseye trase yon flè yon jou.,Li chita devan yon bèl òkide e li kòmanse desen.,Desen Lester a soti trè byen.,Li pann foto a sou miray sal li.,Li deside li pap janm fè desen ankò.,1
13,Pablo renmen manje vè.,Li te li yon liv nan lekòl la sou kijan pou fè sa.,Li fri yo nan lwil oliv.,Li renmen fè sa omwen yon fwa pa mwa.,Pablo renmen vèmin e li konsidere yo kòm yon bagay ki bon gou.,Pablo pa renmen manje vè.,1
14,Kira te toujou renmen kilti Japonè.,Anpil nan fim li te renmen yo te an Japonè.,Li te deside pou l vwayaje la.,"Pandan plizyè ane, li te ekonomize lajan pou vwayaj li.",Li te depanse tout lajan an sou soulye.,Se te pi bon vwayaj li te janm fè.,2
