"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
Yes";;
"  
 No";;
  Dit was die primêre ding wat ons wou red aangesien daar geen manier was om 'n 20-megaton H-bom van 'n 30;"n C124 af te gooi nie. 
Hypothesis:  Ons het nie omgegee om enigiets te red nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
 No";
  Dit was die primêre ding wat ons wou red aangesien daar geen manier was om 'n 20-megaton H-bom van 'n 30;"n C124 af te gooi nie. 
Hypothesis:  Ons wou een ding meer as die res red. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
 Yes";
"  
Yes";;
"  
Yes";;
"  
No";;
"  
 Yes";;
"  
 No";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
 Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
Yes";;
"  
No";;
"  
 No";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
 No";;
"  
No";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
 Yes";;
"  
 No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
No";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
Yes";;
"  
 Yes";;
"  
No";;
"  
 No";;
"  
 No";;
"  
 Yes";;
"  
 Yes";;
"  
No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
Yes";;
"  
 Yes";;
"  
 Yes";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
No";;
"  
 No";;
"  
 No";;
"  
 Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
 No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
 Yes";;
"  
 Yes";;
"  
 Yes";;
"  
 Yes";;
"  
No";;
"  
 No";;
"  
No";;
"  
No";;
"  
Yes";;
"  
 Yes";;
"  
 Yes";;
"  
No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
 No";;
"  
No";;
"  
Yes";;
"  
No";;
"  
 No";;
"  
 Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
Yes";;
"  
 Yes";;
"  
 Yes";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
 Yes";;
"  
 Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
 No";;
"  
 No";;
"  
 Yes";;
"  
 Yes";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
 No";;
"  
 Yes";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
 No";;
"  
 No";;
"  
No";;
"  
No";;
"  
No";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
 No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
Yes";;
"  
 No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
 Yes";;
"  
No";;
"  
Yes";;
"  
No";;
"  
 Yes";;
"  
 No";;
"  
Yes";;
"  
No";;
"  
No";;
"  
No";;
"  
No";;
"  
 No";;
"  
No";;
"  
No";;
"  
No";;
"  
 Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
 Yes";;
"  
 No";;
"  
No";;
"  
 No";;
"  
 Yes";;
"  
No";;
"  
Yes";;
